         654801 function calls (647944 primitive calls) in 280.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      524    4.989    0.010    4.989    0.010 {method 'copy' of 'numpy.ndarray' objects}
      239    0.002    0.000    4.965    0.021 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/blocks.py:534(copy)
       31    0.001    0.000    4.946    0.160 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/concat.py:149(concat)
       31    0.001    0.000    4.922    0.159 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/reshape/concat.py:565(get_result)
       14    0.001    0.000    4.908    0.351 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
       14    0.001    0.000    4.908    0.351 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/internals/concat.py:255(_concat_managers_axis0)
     2320    4.643    0.002    4.643    0.002 {built-in method numpy.empty}
2284/2021    4.358    0.002    4.423    0.002 {built-in method numpy.core._multiarray_umath.implement_array_function}
      205    0.001    0.000    4.138    0.020 <__array_function__ internals>:177(concatenate)
       11    0.000    0.000    4.135    0.376 <__array_function__ internals>:177(vstack)
       11    0.000    0.000    4.135    0.376 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
        1    0.158    0.158    3.816    3.816 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:9(perform_task_1)
        5    0.156    0.031    3.582    0.716 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:34(get_top_n_movies_per_country)
       26    3.301    0.127    3.301    0.127 {method 'factorize' of 'pandas._libs.hashtable.Int64Factorizer' objects}
      350    0.002    0.000    3.185    0.009 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/indexing.py:1089(__getitem__)
        3    0.008    0.003    3.147    1.049 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/indexing.py:1309(_getitem_axis)
        3    0.000    0.000    3.139    1.046 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/indexing.py:1117(_getbool_axis)
       31    0.000    0.000    3.135    0.101 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:3786(_getitem_bool_array)
       31    0.011    0.000    2.700    0.087 /Users/martasolarz/Studies/project/film_ranking/venv11/lib/python3.11/site-packages/pandas/core/frame.py:6709(sort_values)
        1    0.014    0.014    2.682    2.682 /Users/martasolarz/Studies/project/film_ranking/data_analysis/data_processing.py:135(filter_years)
        1    0.110    0.110    2.669    2.669 /Users/martasolarz/Studies/project/film_ranking/data_analysis/analysis.py:212(perform_task_3)
    25702    0.028    0.000    2.138    0.000 <frozen codecs>:319(decode)
