Director,First Average Rating,Last Average Rating,Career Progression Rating
Uwe Boll,2.764,4.405,1.6410000000000005
Jon M. Chu,5.279,6.65,1.3710000000000004
Luca Guadagnino,5.981,7.178999999999999,1.1979999999999995
Jesse V. Johnson,4.805,5.941,1.1360000000000001
Roger Spottiswoode,5.489,6.609,1.12
James Mangold,7.047999999999999,8.1,1.0520000000000005
Matt Reeves,6.444,7.492000000000001,1.048000000000001
Todd Phillips,6.785,7.815,1.0300000000000002
David Mackenzie,6.31,7.325,1.0150000000000006
Peyton Reed,6.111000000000001,7.096,0.9849999999999994
Ronny Yu,5.715,6.655,0.9400000000000004
Rob Minkoff,5.63,6.566,0.9359999999999999
Sean McNamara,4.751,5.6579999999999995,0.9069999999999991
Justin Lin,6.143,7.015,0.8719999999999999
Russell Mulcahy,5.244,6.072,0.8280000000000003
Shawn Levy,5.606,6.374,0.7679999999999998
Craig Gillespie,6.4,7.148,0.7479999999999993
Ken Kwapis,5.688,6.431,0.7430000000000003
Noah Baumbach,6.635,7.3660000000000005,0.7310000000000008
Mike Flanagan,6.205,6.934,0.7290000000000001
Scott Derrickson,6.156000000000001,6.876,0.7199999999999998
Nuri Bilge Ceylan,7.251999999999999,7.957000000000001,0.7050000000000018
Sean Anders,6.004,6.689,0.6850000000000005
Harald Zwart,5.664,6.334,0.6699999999999999
Yorgos Lanthimos,6.595,7.255,0.6600000000000001
Tim Story,5.412000000000001,6.0680000000000005,0.6559999999999997
Bong Joon Ho,7.516,8.152000000000001,0.636000000000001
Wilson Yip,6.067,6.687,0.6200000000000001
Adam McKay,6.879,7.494,0.6150000000000002
Alfonso Cuarón,7.132999999999999,7.7139999999999995,0.5810000000000004
Roger Donaldson,5.845,6.422,0.577
Wes Anderson,7.376,7.941,0.5649999999999995
Brad Peyton,5.283,5.836,0.5529999999999999
Christian Duguay,5.671,6.218999999999999,0.5479999999999992
Denis Villeneuve,7.406000000000001,7.952000000000001,0.5460000000000003
Gavin Hood,6.718,7.251,0.5330000000000004
Bruce Beresford,6.086,6.6160000000000005,0.5300000000000002
Lasse Hallström,6.724,7.251,0.5270000000000001
Christopher Landon,5.736000000000001,6.261,0.5249999999999995
Sidney Lumet,6.108,6.626999999999999,0.5189999999999992
McG,5.369,5.877999999999999,0.5089999999999995
Mira Nair,6.393,6.882000000000001,0.48900000000000077
Mike Nichols,6.571000000000001,7.028,0.45699999999999896
Eli Roth,5.705,6.16,0.45500000000000007
Kathryn Bigelow,6.9479999999999995,7.3839999999999995,0.43599999999999994
Irwin Winkler,6.087000000000001,6.513999999999999,0.4269999999999987
Dante Lam,5.947,6.372000000000001,0.4250000000000007
Mimi Leder,6.268,6.684,0.41600000000000037
Rian Johnson,7.055,7.47,0.41500000000000004
