Director,First Average Rating,Last Average Rating,Career Progression Rating
Hannes Holm,5.062,7.588000000000001,2.5260000000000007
Roel Reiné,3.8759999999999994,6.082000000000001,2.2060000000000013
Avi Nesher,4.718,6.896,2.178
Roger Spottiswoode,5.156000000000001,7.186,2.0299999999999994
Christian Duguay,5.0360000000000005,6.978,1.9419999999999993
Asif Kapadia,5.756,7.544,1.7879999999999994
Joe Berlinger,5.122000000000001,6.843999999999999,1.7219999999999986
Todd Phillips,6.7,8.4,1.7000000000000002
Bharat Nalluri,4.954000000000001,6.632000000000001,1.678
Uwe Boll,3.02,4.626,1.6060000000000003
Luca Guadagnino,5.106,6.668000000000001,1.5620000000000012
Matt Reeves,5.84,7.4,1.5600000000000005
Noah Baumbach,6.386,7.9,1.5140000000000002
Rob Letterman,5.0120000000000005,6.484,1.4719999999999995
Gareth Edwards,6.332000000000001,7.8,1.467999999999999
Marc Evans,5.558000000000001,7.018000000000001,1.46
Sean McNamara,4.026,5.452000000000001,1.426000000000001
Jon Watts,5.9879999999999995,7.4,1.4120000000000008
Jesse V. Johnson,4.574,5.96,1.3860000000000001
Park Chan-wook,6.708000000000001,8.072,1.363999999999998
Brad Peyton,4.738,6.1,1.3619999999999992
John Murlowski,3.6919999999999997,5.0280000000000005,1.3360000000000007
Mike Flanagan,6.013999999999999,7.3,1.2860000000000005
Lisa Azuelos,5.21,6.48,1.2700000000000005
Jean-Paul Salomé,4.774,6.0360000000000005,1.2620000000000005
Denis Villeneuve,6.754,8.0,1.2460000000000004
John R. Leonetti,3.978,5.224,1.246
James Mangold,6.874,8.1,1.226
Tom Harper,5.496,6.72,1.2239999999999993
Sidney Lumet,6.044,7.263999999999999,1.2199999999999998
Joe D'Amato,3.8480000000000003,5.062,1.214
Paco Plaza,5.172000000000001,6.3839999999999995,1.2119999999999989
Gilles Paquet-Brenner,5.076,6.27,1.194
Ronny Yu,5.82,7.001999999999999,1.1819999999999986
Mike Binder,5.8919999999999995,7.064,1.1720000000000006
Kornél Mundruczó,5.614,6.784,1.17
Christopher Landon,5.136,6.3,1.1639999999999997
David E. Talbert,5.018,6.1739999999999995,1.1559999999999997
Mark Herman,6.5,7.654,1.154
Nadine Labaki,7.25,8.4,1.1500000000000004
Clint Eastwood,6.188000000000001,7.337999999999999,1.1499999999999986
Johannes Roberts,3.928,5.066,1.138
Reginald Hudlin,5.994,7.121999999999999,1.1279999999999992
Paolo Genovese,6.1979999999999995,7.322,1.1240000000000006
Craig Gillespie,6.376,7.5,1.1239999999999997
Martin Campbell,5.89,7.0,1.1100000000000003
George Lucas,6.5,7.6,1.0999999999999996
Antoine Fuqua,5.956,7.04,1.0839999999999996
Céline Sciamma,7.0360000000000005,8.1,1.0639999999999992
Ken Kwapis,5.388,6.446000000000001,1.0580000000000007
Yôjirô Takita,6.38,7.436,1.056
George Miller,5.746999999999999,6.8,1.0530000000000008
James Gunn,6.5520000000000005,7.6,1.0479999999999992
Bong Joon Ho,7.452000000000001,8.5,1.0479999999999992
Guy Ferland,5.36,6.404,1.0439999999999996
Roland Emmerich,5.66,6.7,1.04
Thor Freudenthal,5.654,6.69,1.0360000000000005
Mimi Leder,6.0360000000000005,7.055999999999999,1.0199999999999987
Sean Anders,6.284,7.3,1.016
Damian Lee,4.0040000000000004,5.018,1.0139999999999993
Yorgos Lanthimos,6.5,7.5,1.0
Christophe Honoré,5.398,6.367999999999999,0.9699999999999998
Luke Greenfield,5.294,6.2620000000000005,0.9680000000000009
George Hickenlooper,5.306,6.268,0.9619999999999997
David Mackenzie,6.201999999999999,7.152,0.9500000000000011
Uli Edel,4.974,5.914,0.9399999999999995
Luis Mandoki,5.954,6.89,0.9359999999999999
Sean Baker,6.636,7.57,0.9340000000000002
Christopher McQuarrie,6.768,7.7,0.9320000000000004
Wilson Yip,5.942,6.87,0.9279999999999999
Joe Chappelle,4.882000000000001,5.808000000000001,0.9260000000000002
Michael Herbig,5.812,6.734,0.9219999999999997
Isaac Florentine,4.618,5.54,0.9219999999999997
Timothy Woodward Jr.,3.302,4.2219999999999995,0.9199999999999995
Frank Marshall,6.716,7.62,0.9039999999999999
Rian Johnson,7.004,7.9,0.8960000000000008
Ti West,5.12,6.016,0.8959999999999999
Scott Derrickson,6.604,7.5,0.8959999999999999
Guillermo del Toro,6.406000000000001,7.3,0.8939999999999992
Thomas Carter,6.084,6.9639999999999995,0.8799999999999999
Frank Oz,6.664,7.54,0.8760000000000003
Mira Nair,6.266,7.136,0.8700000000000001
Peyton Reed,6.132,7.0,0.8680000000000003
Jag Mundhra,4.1160000000000005,4.98,0.8639999999999999
Leigh Whannell,6.24,7.1,0.8599999999999994
Deon Taylor,4.752,5.6080000000000005,0.8560000000000008
Shawn Levy,5.52,6.376,0.8560000000000008
Scott Stewart,5.331999999999999,6.18,0.8480000000000008
Tommy O'Haver,6.006,6.848,0.8419999999999996
Antonio Campos,6.226,7.06,0.8339999999999996
Rob Minkoff,5.91,6.74,0.8300000000000001
Greg Berlanti,6.676,7.5,0.8239999999999998
Aku Louhimies,6.316,7.128000000000001,0.8120000000000012
Catherine Corsini,6.013999999999999,6.82,0.8060000000000009
Lee Joon-ik,6.6160000000000005,7.422,0.8059999999999992
