Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Kitty Green,5420,263160,257740
Anubhav Sinha,11068,268070,257002
Ari Aster,3808570,4063960,255390
Burr Steers,353430,606220,252790
Jaco Van Dormael,63560,315712,252152
Siddharth Anand,81800,332650,250850
Tatsuya Nagamine,68315,317900,249585
Harald Zwart,43930,293110,249180
Sanjay Gupta,20505,268771,248266
Marcos Siega,88846,335670,246824
Liz Garbus,4597,250700,246103
Tom Ropelewski,36570,279018,242448
Brett Haley,77992,319462,241470
Riley Stearns,168796,410140,241344
Janus Metz,103490,344620,241130
Afonso Poyart,118309,355925,237616
Guy Ferland,60220,295590,235370
R. Balki,56010,291260,235250
Toa Fraser,12544,247580,235036
Jean-Stéphane Sauvaire,28414,262710,234296
Rod Daniel,64220,297790,233570
Mabrouk El Mechri,162422,394860,232438
John Huddles,4550,236020,231470
Jang Hang-jun,233600,465020,231420
Neil Burger,407331,638250,230919
Gerard Barrett,13456,242990,229534
Michael Showalter,49480,278320,228840
Declan Lowney,101786,330110,228324
Demián Rugna,1796,228580,226784
Baz Poonpiriya,7790,234090,226300
F. Gary Gray,1250220,1475970,225750
Saket Chaudhary,95996,320950,224954
Jon S. Baird,175082,398960,223878
Stuart Baird,617280,840790,223510
Brian Kirk,524590,747880,223290
Fernando Coimbra,51920,274760,222840
Aanand L. Rai,84203,304530,220327
Andrés Baiz,152121,372184,220063
Kamil Cetin,15566,235338,219772
Ben Stiller,537860,757560,219700
Rakesh Roshan,34435,253330,218895
Todd Douglas Miller,55239,272810,217571
Alan Rickman,37530,254560,217030
Jay Russell,213850,430580,216730
Roseanne Liang,94072,309700,215628
Mark Romanek,1320180,1535700,215520
Gérard Krawczyk,63915,278934,215019
Sukumar,63617,278440,214823
Florian Gallenberger,17089,231530,214441
Assaf Bernstein,10040,224330,214290
Ken Loach,46320,259490,213170
Brian Robbins,237658,450140,212482
Sam Miller,9850,220700,210850
Joachim Trier,156900,367320,210420
Patricia Riggen,74750,285150,210400
Desiree Akhavan,47380,257050,209670
Trey Edward Shults,100900,310450,209550
Fernando León de Aranoa,17429,224640,207211
Jesse Peretz,42110,247790,205680
Karyn Kusama,113960,318600,204640
Álex de la Iglesia,57960,262574,204614
Olivier Dahan,8640,212240,203600
Andrew Levitas,28470,231000,202530
Stephan Rick,14925,217230,202305
Kabir Khan,16032,218010,201978
Jim Jarmusch,662220,864160,201940
Jane Campion,87210,288070,200860
Paul Currie,56540,257250,200710
Anurag Singh,22842,223480,200638
Alma Har'el,209729,409600,199871
Whit Stillman,66670,264730,198060
Juan Carlos Medina,35770,233790,198020
Ramin Bahrani,29792,227720,197928
Peter Kosminsky,143650,341460,197810
Kelly Reichardt,23780,220690,196910
Glenn Gordon Caron,18210,215050,196840
Cate Shortland,81970,277130,195160
Jennifer Fox,2610,197730,195120
Robert Altman,42120,236520,194400
Luc Besson,766040,959410,193370
Kivanç Baruönü,63549,255584,192035
Kasi Lemmons,116510,308350,191840
Hugh Wilson,192800,384097,191297
Anna Biller,9456,200240,190784
Robert Schwentke,26424,217090,190666
Bharat Nalluri,2954,193130,190176
Joan Chen,36820,226828,190008
S. Shankar,81899,271510,189611
Alice Rohrwacher,19270,208370,189100
Julien Magnat,12630,201500,188870
Vicky Jewson,84036,272610,188574
Andrea Di Stefano,234120,422270,188150
Matt Brown,436765,623560,186795
Ti West,22380,208930,186550
Sara Sugarman,5766,191590,185824
Eugenio Mira,11178,196540,185362
Abe Forsythe,8528,193640,185112
Luca Guadagnino,4538,187936,183398
Jeffrey Blitz,128394,310630,182236
Julian Schnabel,221440,401700,180260
Abderrahmane Sissako,3346,183130,179784
Monika Mitchell,24356,204020,179664
David Koepp,80930,260280,179350
John Carpenter,270360,449540,179180
Kyle Rankin,97350,275590,178240
Jonas Pate,14540,192610,178070
Ayan Mukerji,340640,517780,177140
Bruce Campbell,76000,251590,175590
Peter MacDonald,82760,258290,175530
Daniel Benmayor,26560,201860,175300
Rebecca Miller,10640,183840,173200
Sam Levinson,45850,218470,172620
Ali Abbas Zafar,152277,324870,172593
Brad Furman,24640,195610,170970
Rupert Wainwright,221950,392730,170780
George Hickenlooper,6852,177150,170298
Alain Desrochers,16782,186694,169912
Ulu Grosbard,33450,203220,169770
Olaf de Fleur Johannesson,1891,171610,169719
John Maybury,20304,189850,169546
Aisling Walsh,48050,217050,169000
Isao Takahata,374300,543220,168920
Vicente Villanueva,48882,215760,166878
Eugene Kotlyarenko,1717,168460,166743
Atlee,76486,242860,166374
Lev L. Spiro,2196,168030,165834
Ken Kwapis,134360,298570,164210
Ketan Mehta,16820,180418,163598
Alejandro Agresti,740,162778,162038
Kevin Connolly,11663,171850,160187
Hsiao-Hsien Hou,20760,180400,159640
Meghna Gulzar,118673,277510,158837
John Suits,41598,200120,158522
Asger Leth,1271852,1429591,157739
Hannes Holm,12100,169672,157572
Edward Yang,128480,285820,157340
Lawrence Michael Levine,4513,160920,156407
Punit Malhotra,68482,224380,155898
Jacob Chase,27000,182740,155740
Nicholas Meyer,421910,577458,155548
Kim Nguyen,8988,164440,155452
Asif Kapadia,27970,183050,155080
Reed Morano,41880,196940,155060
Fumihiko Sori,56830,211460,154630
Sydney Sibilia,95910,249570,153660
Marshall Herskovitz,44100,196800,152700
Steve Beck,940960,1093620,152660
Forest Whitaker,122390,274470,152080
Takanori Tsujimoto,3458,155430,151972
Ari Sandel,116910,268493,151583
Mamoru Hosoda,31130,181940,150810
Jung Bum-shik,6830,157190,150360
Alejandro Landes,40332,189740,149408
Nicolas Pesce,145120,294110,148990
Ram Kumar,361395,509040,147645
Josh Stolberg,22758,169710,146952
Mélanie Laurent,16410,162780,146370
Sara Colangelo,38530,184500,145970
Carles Torras,1472,147340,145868
Joe Roth,26630,172400,145770
Sophia Takal,46126,191720,145594
Edoardo Ponti,11150,155930,144780
Brian A. Metcalf,17693,161930,144237
Nick Gomez,12020,156070,144050
Joe Mantello,37020,180860,143840
Alfonso Gomez-Rejon,167560,310500,142940
Matteo Garrone,5129,147960,142831
Miguel Arteta,10490,153270,142780
Malcolm Venville,71400,214010,142610
Ben C. Lucas,25860,167600,141740
Darren Paul Fisher,6405,148130,141725
Donald Petrie,33650,175120,141470
Timothy Linh Bui,12580,153380,140800
William Bindley,3530,143440,139910
Ram,26990,166750,139760
Deon Taylor,3796,142830,139034
Scott Coffey,48180,187200,139020
Nicolas Bedos,57840,196700,138860
Rick Jacobson,3120,141660,138540
Eric Till,5740,144194,138454
Robin Campillo,29840,167830,137990
Laura Terruso,19197,157050,137853
Grant Heslov,1240570,1378290,137720
Petra Costa,20600,157470,136870
Billy Ray,377610,514390,136780
Antonio Negret,28592,165310,136718
Reggie Rock Bythewood,5010,141380,136370
Benny Boom,111480,247780,136300
Nicholas Hytner,184660,320720,136060
Jonathan Teplitzky,22700,158090,135390
Ciro Guerra,13130,147670,134540
Ariel Vromen,21550,155440,133890
David Mamet,81990,215360,133370
Darren Doane,1764,134592,132828
Tony McNamara,29390,162210,132820
Ziad Doueiri,48700,181330,132630
Bartosz M. Kowalski,8768,141370,132602
Mike Rohl,2839,135400,132561
Alejandro Monteverde,110480,242800,132320
Anthony Minghella,100320,232560,132240
Jon Amiel,20200,151470,131270
Michael Cristofer,56500,187450,130950
Brady Corbet,65120,196040,130920
Guy Nattiv,58494,189030,130536
Alexander Nanau,4368,134870,130502
Fatih Akin,53960,183800,129840
Mike Binder,9460,139230,129770
Tolga Karaçelik,46030,175330,129300
Anthony Byrne,13863,143060,129197
Richard J. Lewis,134425,262970,128545
Josephine Decker,5550,133920,128370
Shawn Linden,4320,132360,128040
Morgan Neville,56938,184792,127854
Marco Bellocchio,3240,130550,127310
Larry Bishop,36830,163760,126930
Jessie Nelson,141990,268060,126070
Sebastián Lelio,4046,129970,125924
Enki Bilal,92132,218000,125868
Jon Stewart,109710,235540,125830
Ajay Bahl,56836,182350,125514
Mike White,66100,191580,125480
Brett Donowho,8470,133930,125460
Doug Atchison,91868,216980,125112
Bruce Hendricks,50516,175410,124894
Mira Nair,62410,187250,124840
Andreas Prochaska,18647,143450,124803
Martin Wood,6137,130360,124223
Levan Akin,20104,144040,123936
Homi Adajania,54680,178590,123910
Prabhu Deva,79447,203350,123903
Lana Wilson,125990,249370,123380
Lance Daly,8920,132280,123360
Daniel Nettheim,288882,411960,123078
Jonathan Kaplan,117850,240910,123060
Erik Poppe,19924,142850,122926
Patrick Stettner,38410,160380,121970
Aleksey Sidorov,22430,144210,121780
Janicza Bravo,57776,179080,121304
Will Canon,42100,163270,121170
Cristian Mungiu,26410,147570,121160
David Zellner,3288,124430,121142
Carlo Carlei,5600,126600,121000
Victor Levin,214120,335040,120920
Sylvain White,264710,385290,120580
Olivier Megaton,4325,124740,120415
Paul Middleditch,5142,125050,119908
Christoffer Boe,76270,195730,119460
Graham Baker,6600,125910,119310
Robbie Pickering,14770,134070,119300
Peter Askin,10340,127820,117480
Nisha Ganatra,17582,134840,117258
Sunao Katabuchi,7900,125110,117210
Tate Taylor,514298,631260,116962
Simon Kaijser,12390,129240,116850
Steven Kostanski,35000,151760,116760
Olivier Assayas,3120,119770,116650
Joanna Hogg,29720,145450,115730
John Gulager,339210,454810,115600
Sandeep Reddy Vanga,290490,405330,114840
Anthony Burns,51420,165660,114240
Chris Fisher,12730,126780,114050
David E. Talbert,93732,207720,113988
Han-min Kim,17234,131070,113836
François Ozon,21251,134570,113319
Kari Skogland,2843,116160,113317
William Peter Blatty,240178,353122,112944
Lee Byeong-heon,17895,130620,112725
Kar-Wai Wong,256090,368580,112490
Shirish Kunder,78912,191360,112448
Sanjay Gadhvi,17653,129129,111476
May el-Toukhy,34744,146200,111456
Michael Petroni,24840,136130,111290
Rajat Kapoor,5792,116173,110381
Frank A. Cappello,29360,139728,110368
Alan Ball,120640,230890,110250
Madonna,26340,136450,110110
David R. Ellis,162450,272300,109850
Peter Strickland,30580,140160,109580
Jonathan Helpert,255354,364260,108906
Louie Schwartzberg,7205,116070,108865
Trivikram Srinivas,127564,235830,108266
Edward Zwick,16130,124390,108260
Angela Robinson,179070,287240,108170
Ryan Eslinger,11580,119260,107680
Jesús del Cerro,2610,109940,107330
Jean-Baptiste Léonetti,3980,111180,107200
Matthew Ross,65070,172030,106960
Matt Eskandari,43272,150150,106878
Robert Budreau,40796,147590,106794
Zoe Lister-Jones,59870,166410,106540
Jeremy Haft,3916,110410,106494
Om Raut,255038,360920,105882
Stewart Hendler,100750,206050,105300
John Crowley,166160,271270,105110
Jez Butterworth,159222,263630,104408
Justin G. Dyck,2344,106410,104066
Stacy Title,156710,260750,104040
Luis Ortega,12245,115790,103545
Curtis Hanson,109070,212000,102930
Liza Johnson,47762,150450,102688
Glen Morgan,204400,307000,102600
Richard Kwietniowski,41660,144150,102490
Claude Berri,23412,125450,102038
Song Il-gon,10852,112710,101858
Tom Kalin,19240,120740,101500
Hiroyuki Kitakubo,32130,133330,101200
Dimitri Logothetis,2630,103820,101190
Derek Tsang,31880,132930,101050
Ahmed Khan,37963,138850,100887
John Fawcett,13480,114260,100780
Robert Shaye,12810,113440,100630
Jim Abrahams,59590,160060,100470
Koratala Siva,75326,175566,100240
Dee Rees,68180,167910,99730
Egor Baranov,7187,106810,99623
Diane Keaton,32710,131900,99190
Dave Meyers,263910,362948,99038
Andrey Volgin,6752,105480,98728
Richard Schenkman,4092,102810,98718
Hansal Mehta,37175,135866,98691
Josh Radnor,305310,403910,98600
Darren Stein,33543,132012,98469
Rohit Shetty,122524,220720,98196
David S. Ward,169840,267990,98150
Mong-Hong Chung,4694,102470,97776
Álvaro Brechner,12497,110270,97773
Robert Allan Ackerman,13590,111320,97730
