Director,First Average Rating,Last Average Rating,Career Progression Rating
Tommy Reid,4.2,7.5,3.3
Hardy Martins,4.0,7.3,3.3
Bryan Fogel,4.5,7.8,3.3
Mike Donahue,3.5,6.8,3.3
Vivek Agnihotri,4.8,8.1,3.3
Andy Lauer,2.7000000000000006,6.0,3.2999999999999994
Rich Christiano,3.7999999999999994,7.099999999999999,3.2999999999999994
A. Dean Bell,3.2000000000000006,6.5,3.2999999999999994
Dru Brown,3.2000000000000006,6.5,3.2999999999999994
Nick Gaitatjis,3.2999999999999994,6.599999999999999,3.2999999999999994
Fisher Stevens,4.9,8.2,3.299999999999999
Simon Ellis,4.3,7.566666666666666,3.2666666666666666
Staci Layne Wilson,4.033333333333333,7.3,3.2666666666666666
Tony Mendoza,4.933333333333334,8.2,3.2666666666666657
Christine Parker,3.0,6.266666666666666,3.2666666666666657
Vadim Jean,3.2000000000000006,6.466666666666666,3.2666666666666653
Jake Yuzna,5.0,8.233333333333333,3.2333333333333325
Mariano Galperín,3.733333333333333,6.933333333333334,3.2000000000000006
Martin Wood,2.7000000000000006,5.900000000000001,3.2000000000000006
Vincent D'Onofrio,2.7000000000000006,5.900000000000001,3.2000000000000006
Christoph Schrewe,3.2999999999999994,6.5,3.2000000000000006
Baldo Marro,5.6000000000000005,8.8,3.2
Michael House,4.4,7.6000000000000005,3.2
Jonas Wolcher,3.0666666666666664,6.266666666666667,3.2
Dan Grin,2.6,5.8,3.1999999999999997
Parthiban Radhakrishnan,5.133333333333334,8.3,3.166666666666667
Harry Baweja,5.333333333333333,8.5,3.166666666666667
Mark Pirro,3.6,6.766666666666667,3.1666666666666665
Michael A. Martinez,3.266666666666667,6.400000000000001,3.133333333333334
Jake West,4.6,7.733333333333333,3.1333333333333337
Kevin Peeples,3.3666666666666667,6.5,3.1333333333333333
Brooks Benjamin,3.0,6.133333333333333,3.133333333333333
Erin Berry,3.2999999999999994,6.400000000000001,3.100000000000002
Abholghassem Talebi,2.8000000000000003,5.900000000000001,3.100000000000001
Joe Berlinger,4.0,7.1000000000000005,3.1000000000000005
Michael Chapman,5.2,8.3,3.1000000000000005
Hasnain,3.233333333333333,6.333333333333333,3.1
Park Chan-wook,5.0,8.1,3.0999999999999996
Stephen Patrick Kenny,2.2,5.3,3.0999999999999996
Ryan Nicholson,3.5,6.599999999999999,3.0999999999999988
Eitan Gafny,4.0,7.099999999999999,3.0999999999999988
Ahmed Alauddin Jamal,4.0,7.099999999999999,3.0999999999999988
Miroslaw Dembinski,4.333333333333333,7.400000000000001,3.066666666666668
Donald G. Jackson,2.2,5.266666666666667,3.0666666666666664
Richard Boylan,5.733333333333334,8.8,3.0666666666666664
David Lee Madison,2.2,5.266666666666667,3.0666666666666664
Jingming Guo,3.3666666666666667,6.400000000000001,3.0333333333333345
Liam Firmager,4.166666666666667,7.2,3.033333333333333
Jack Bender,5.2,8.233333333333333,3.0333333333333323
Jake Myers,4.3999999999999995,7.400000000000001,3.0000000000000018
Wilson Coneybeare,2.9,5.900000000000001,3.0000000000000013
Joe Gayton,3.9,6.900000000000001,3.0000000000000013
Michel Ricaud,2.9,5.900000000000001,3.0000000000000013
Albert Johnson,3.2999999999999994,6.3,3.0000000000000004
Enzo Zelocchi,2.7999999999999994,5.8,3.0000000000000004
Edgar Marie,4.5,7.5,3.0
Daniel de la Vega,3.5,6.5,3.0
Amy Goldstein,4.0,7.0,3.0
Ilaria Borrelli,4.2,7.2,3.0
Tom Cairns,4.5,7.5,3.0
Hee-joon Park,3.5,6.5,3.0
Ashley Way,4.7,7.7,3.0
Michael Stevens,4.5,7.5,3.0
Alison Reid,4.7,7.7,3.0
Peter Atencio,3.2000000000000006,6.2,2.9999999999999996
Joseph Kahn,4.1,7.099999999999999,2.999999999999999
Larry Brand,4.1,7.099999999999999,2.999999999999999
Carl-Gustav Nykvist,4.1000000000000005,7.099999999999999,2.9999999999999982
Ramesh Varma,4.933333333333334,7.900000000000001,2.9666666666666677
Greg Robbins,2.566666666666667,5.533333333333334,2.9666666666666672
Ryan Katzenbach,5.066666666666666,8.033333333333333,2.966666666666667
Ronnie Cramer,5.1,8.066666666666666,2.966666666666667
Morten Køhlert,3.7000000000000006,6.666666666666667,2.9666666666666663
Douglas Elford-Argent,3.5333333333333337,6.5,2.9666666666666663
Cybil Richards,4.466666666666667,7.400000000000001,2.9333333333333345
Matt Gallagher,5.566666666666666,8.5,2.9333333333333336
Robert Schwentke,4.366666666666666,7.3,2.9333333333333336
Alek Gearhart,3.8666666666666667,6.8,2.933333333333333
Edgar Baghdasaryan,3.266666666666667,6.2,2.933333333333333
Matt Riddlehoover,4.566666666666667,7.5,2.9333333333333327
Esses Tamás,5.6000000000000005,8.533333333333333,2.9333333333333327
Stephen Goetsch,3.5,6.433333333333333,2.9333333333333327
Steve Franke,3.6666666666666665,6.599999999999999,2.9333333333333322
Thomas Extreme Cinemagore,3.5,6.400000000000001,2.9000000000000012
Young-doo Oh,4.5,7.400000000000001,2.9000000000000012
Corbin Timbrook,2.7999999999999994,5.7,2.900000000000001
Renpei Tsukamoto,3.7999999999999994,6.7,2.900000000000001
Shimon Dotan,4.6,7.5,2.9000000000000004
John Putch,4.1,7.0,2.9000000000000004
Ian Sharp,3.6,6.5,2.9
Thomas L. Callaway,3.4,6.3,2.9
Abdullah Oguz,3.6,6.5,2.9
Bill Zebub,2.1,5.0,2.9
Frank Shields,3.6,6.5,2.9
Charlie Shackleton,6.2,9.1,2.8999999999999995
Zig Madamba Dulay,4.7,7.599999999999999,2.8999999999999986
Mahaliel Bethea,4.7,7.599999999999999,2.8999999999999986
Ragnar Bragason,3.7000000000000006,6.599999999999999,2.899999999999998
Robert Alaniz,3.5,6.366666666666667,2.866666666666667
Jason Michael Brescia,4.0,6.866666666666667,2.866666666666667
Albert Pyun,3.8333333333333335,6.7,2.8666666666666667
Danny Cannon,3.8333333333333335,6.7,2.8666666666666667
John Alexander,4.6,7.466666666666666,2.8666666666666663
Guillaume Nicloux,3.233333333333333,6.099999999999999,2.866666666666666
Jason Connery,3.5666666666666664,6.400000000000001,2.833333333333335
James D. Froio,5.266666666666667,8.1,2.833333333333333
Christopher Nolen,4.166666666666667,7.0,2.833333333333333
Brian Spitz,5.599999999999999,8.4,2.8000000000000016
Kevin Brodie,3.4,6.2,2.8000000000000003
Lamar Card,3.9,6.7,2.8000000000000003
Marko Marinkovic,3.9,6.7,2.8000000000000003
John Rogers,2.9,5.7,2.8000000000000003
Paul Emami,4.5,7.3,2.8
Bill McAdams Jr.,2.3,5.1,2.8
Jianan He,4.5,7.3,2.8
