,Country Name,Country GDP Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
164,Solomon Islands,171,186,188,-15,-17
165,Somalia,102,124,21,-22,81
166,South Africa,32,24,147,8,-115
167,Spain,10,10,166,0,-156
168,Sri Lanka,98,103,49,-5,49
169,Sudan,60,132,26,-72,34
170,Suriname,138,166,137,-28,1
171,Sweden,13,20,124,-7,-111
172,Switzerland,20,67,66,-47,-46
173,Syrian Arab Republic,62,110,54,-48,8
174,Tajikistan,169,104,44,65,125
175,"Tanzania, United Republic of",135,145,4,-10,131
176,Thailand,40,35,115,5,-75
177,Timor-Leste,174,167,121,7,53
178,Togo,182,172,89,10,93
179,Tonga,196,128,64,68,132
180,Trinidad and Tobago,123,140,25,-17,98
181,Tunisia,88,87,9,1,79
182,Turkey,25,18,169,7,-144
183,Turkmenistan,143,102,114,41,29
184,Uganda,59,122,5,-63,54
185,Ukraine,57,19,133,38,-76
186,United Arab Emirates,48,48,120,0,-72
187,United Kingdom of Great Britain,5,2,168,3,-163
188,United States of America,1,1,152,0,-151
189,Uruguay,96,47,71,49,25
190,Uzbekistan,82,51,41,31,41
191,Venezuela (Bolivarian Republic of),50,56,160,-6,-110
192,Viet Nam,18,28,140,-10,-122
193,Virgin Islands (U.S.),134,155,177,-21,-43
194,Yemen,69,107,89,-38,-20
195,Zambia,75,184,15,-109,60
196,Zimbabwe,101,143,17,-42,84
