Director,First Average Rating,Last Average Rating,Career Progression Rating
Maria Ramos,2.5,7.24,4.74
Massimo Mazzucco,4.2,8.34,4.14
Eduardo Montes-Bradley,3.5,7.6,4.1
Allan Harmon,2.9,7.0,4.1
Adam Rehmeier,3.4,7.4,4.0
William Shatner,2.8,6.8,4.0
Charlie Vaughn,2.2,6.2,4.0
Matthew Warchus,4.7,8.7,3.999999999999999
Jo Tae-ho,4.4,8.3,3.9000000000000004
Vigen Chaldranyan,4.6,8.42,3.8200000000000003
Tim Pope,4.6,8.4,3.8000000000000007
Yuri Zeltser,5.0,8.8,3.8000000000000007
Raimund Huber,4.7,8.5,3.8
Joel Soisson,3.5200000000000005,7.3,3.7799999999999994
Kim Jun Ok,3.5200000000000005,7.26,3.7399999999999993
Michael Rissi,2.4,6.12,3.72
Jim Donovan,4.9,8.62,3.719999999999999
Timur Bekmambetov,3.0,6.7,3.7
Amit Ravindernath Sharma,4.2,7.9,3.7
Nathan Frankowski,3.7,7.4,3.7
Tucky Williams,2.4,6.1,3.6999999999999997
Michael Schroeder,3.4,7.0,3.6
Bill Fishman,2.6,6.2,3.6
Vitaliy Versace,1.3199999999999998,4.9,3.5800000000000005
Mark Pirro,3.28,6.82,3.5400000000000005
Craig McMahon,3.96,7.5,3.54
Adam Bernstein,2.7,6.2,3.5
Zak Knutson,3.7,7.2,3.5
Ramesh Varma,4.4799999999999995,7.9,3.420000000000001
Carlitos Landeo,3.9,7.32,3.4200000000000004
Yutaka Ikejima,4.86,8.28,3.419999999999999
Lyndon Chubbuck,3.3,6.7,3.4000000000000004
Hoon Ryoo,5.7,9.1,3.3999999999999995
Faruk Aksoy,2.42,5.779999999999999,3.3599999999999994
James Balsamo,2.94,6.26,3.32
Jesse James Miller,3.4,6.7,3.3000000000000003
A. Dean Bell,3.2,6.5,3.3
Andy Lauer,2.7,6.0,3.3
Bryan Fogel,4.5,7.8,3.3
Vivek Agnihotri,4.8,8.1,3.3
Hardy Martins,4.0,7.3,3.3
Rich Christiano,3.8,7.1,3.3
Fisher Stevens,4.9,8.2,3.299999999999999
Bill McAdams Jr.,2.3,5.56,3.26
Natsuki Seta,3.0,6.24,3.24
Michael J. Sarna,3.5,6.719999999999999,3.219999999999999
Christoph Schrewe,3.3,6.5,3.2
Martin Wood,2.7,5.9,3.2
James Yukich,3.9,7.1,3.1999999999999997
Larry Brand,3.94,7.1,3.1599999999999997
Sergio Esquenazi,2.8,5.959999999999999,3.1599999999999993
David Noel Bourke,2.8,5.9399999999999995,3.1399999999999997
Jake West,4.6,7.720000000000001,3.120000000000001
Albert Pyun,3.5799999999999996,6.7,3.1200000000000006
Park Chan-wook,5.0,8.1,3.0999999999999996
Vince DiPersio,4.5,7.58,3.08
Hriday Shetty,5.040000000000001,8.1,3.0599999999999987
Tom Stout,2.4,5.44,3.0400000000000005
Joey Travolta,3.7,6.74,3.04
Tetsuya Mariko,3.8600000000000003,6.9,3.04
Vito Trabucco,4.779999999999999,7.8,3.0200000000000005
Wilson Coneybeare,2.9,5.9,3.0000000000000004
Milos Avramovic,4.9,7.9,3.0
Amy Goldstein,4.0,7.0,3.0
Joseph Kahn,4.1,7.1,3.0
Peter Atencio,3.2,6.2,3.0
Ravindra Peepat,4.18,7.140000000000001,2.960000000000001
Edgar Baghdasaryan,3.44,6.4,2.9600000000000004
Jeremiah Cullinane,4.9,7.859999999999999,2.959999999999999
Joe Berlinger,4.0,6.94,2.9400000000000004
Deepak Tijori,3.56,6.5,2.94
Bob Bragg,4.279999999999999,7.2,2.920000000000001
Mariano Galperín,3.9200000000000004,6.840000000000001,2.9200000000000004
Andrey Nekrasov,4.3,7.2,2.9000000000000004
Thomas Extreme Cinemagore,3.5,6.4,2.9000000000000004
Shimon Dotan,4.6,7.5,2.9000000000000004
Harry Baweja,5.4399999999999995,8.34,2.9000000000000004
Ian Sharp,3.6,6.5,2.9
Charlie Shackleton,6.2,9.1,2.8999999999999995
Dereck Joubert,4.9,7.8,2.8999999999999995
Rupesh Paul,2.6,5.4799999999999995,2.8799999999999994
Dan Grin,2.6,5.4799999999999995,2.8799999999999994
Alex Zamm,2.3,5.16,2.8600000000000003
Drew Hall,2.7,5.5600000000000005,2.8600000000000003
Kayoko Asakura,2.94,5.8,2.86
Tommy Reid,4.2,7.06,2.8599999999999994
Parthiban Radhakrishnan,5.46,8.3,2.8400000000000007
Rafal Zielinski,4.220000000000001,7.0600000000000005,2.84
Cybil Richards,4.5600000000000005,7.4,2.84
Sujoy Ghosh,4.88,7.7,2.8200000000000003
Bob Misiorowski,3.5,6.32,2.8200000000000003
Miguel Coyula,4.9,7.720000000000001,2.8200000000000003
Andrey Volgin,3.78,6.6,2.82
Daisuke Yamanouchi,2.6,5.4,2.8000000000000003
Kevin Brodie,3.4,6.2,2.8000000000000003
Gagan Puri,3.3,6.1,2.8
Jean-Louis Daniel,2.5,5.3,2.8
Taylor Sheridan,4.9,7.7,2.8
Jose Thomas,4.9,7.7,2.8
Yorgos Lanthimos,4.7,7.5,2.8
Tony Mendoza,4.5600000000000005,7.359999999999999,2.799999999999999
Nik Triantafyllidis,5.42,8.219999999999999,2.799999999999999
Jason Connery,3.62,6.4,2.7800000000000002
Bill Zebub,2.54,5.32,2.7800000000000002
Abholghassem Talebi,2.52,5.3,2.78
Anant Mahadevan,5.24,8.02,2.7799999999999994
Tiller Russell,4.9399999999999995,7.7,2.7600000000000007
Patrick Desmarattes,3.94,6.7,2.7600000000000002
Julian Grant,3.3,6.06,2.76
Michael House,4.4,7.159999999999999,2.759999999999999
Haiqiang Ning,4.279999999999999,7.0200000000000005,2.740000000000001
Jack Bender,5.2,7.94,2.74
Jingming Guo,3.38,6.12,2.74
Douglas Elford-Argent,3.2,5.9399999999999995,2.7399999999999993
Pete Jacelone,3.8600000000000003,6.6,2.7399999999999993
James Keach,5.1,7.82,2.7200000000000006
John Ridley,5.1,7.8,2.7
Hassen Ferhani,4.1,6.8,2.7
