,Country Name,Country Population Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
165,Somalia,60,124,21,-64,39
166,South Africa,27,24,147,3,-120
167,Spain,29,10,166,19,-137
168,Sri Lanka,55,103,49,-48,6
169,Sudan,34,132,26,-98,8
170,Suriname,160,166,137,-6,23
171,Sweden,78,20,124,58,-46
172,Switzerland,95,67,66,28,29
173,Syrian Arab Republic,62,110,54,-48,8
174,Tajikistan,100,104,44,-4,56
175,"Tanzania, United Republic of",35,145,4,-110,31
176,Thailand,23,35,115,-12,-92
177,Timor-Leste,149,167,121,-18,28
178,Togo,116,172,89,-56,27
179,Tonga,182,128,64,54,118
180,Trinidad and Tobago,147,140,25,7,122
181,Tunisia,83,87,9,-4,74
182,Turkey,16,18,169,-2,-153
183,Turkmenistan,117,102,114,15,3
184,Uganda,28,122,5,-94,23
185,Ukraine,25,19,133,6,-108
186,United Arab Emirates,142,48,120,94,22
187,United Kingdom of Great Britain,18,2,168,16,-150
188,United States of America,3,1,152,2,-149
189,Uruguay,127,47,71,80,56
190,Uzbekistan,47,51,41,-4,6
191,Venezuela (Bolivarian Republic of),48,56,160,-8,-112
192,Viet Nam,11,28,140,-17,-129
193,Virgin Islands (U.S.),180,155,177,25,3
194,Yemen,42,107,89,-65,-47
195,Zambia,61,184,15,-123,46
196,Zimbabwe,76,143,17,-67,59
