Director,First Average Rating,Last Average Rating,Career Progression Rating
Allan Harmon,2.9,7.0,4.1
Eduardo Montes-Bradley,3.5,7.58,4.08
Adam Rehmeier,3.4,7.4,4.0
Faruk Aksoy,2.19,6.14,3.9499999999999997
Matthew Warchus,4.7,8.52,3.8199999999999994
Raimund Huber,4.7,8.5,3.8
Timur Bekmambetov,3.0,6.7,3.7
Craig McMahon,3.81,7.459999999999999,3.649999999999999
Adam Bernstein,2.7,6.2,3.5
Jesse James Miller,3.4,6.82,3.4200000000000004
Lyndon Chubbuck,3.3,6.7,3.4000000000000004
Bryan Fogel,4.5,7.8,3.3
Fisher Stevens,4.9,8.2,3.299999999999999
Bill McAdams Jr.,2.3,5.58,3.2800000000000002
Andrey Volgin,3.34,6.6,3.26
Tiller Russell,4.52,7.7,3.1800000000000006
Vivek Agnihotri,4.92,8.1,3.1799999999999997
Jo Tae-ho,4.4,7.5200000000000005,3.12
Park Chan-wook,4.9799999999999995,8.1,3.12
Dereck Joubert,4.9,8.0,3.0999999999999996
Yutaka Ikejima,4.86,7.959999999999999,3.0999999999999988
Michael Schroeder,3.4,6.4,3.0000000000000004
Peter Atencio,3.2,6.2,3.0
Joseph Kahn,4.1,7.1,3.0
Martin Wood,2.91,5.9,2.99
Sujoy Ghosh,4.79,7.7,2.91
Anubhav Sinha,4.1,7.0,2.9000000000000004
Shimon Dotan,4.6,7.5,2.9000000000000004
Thomas Extreme Cinemagore,3.5,6.4,2.9000000000000004
Ian Sharp,3.6,6.5,2.9
Alex Zamm,2.3,5.16,2.8600000000000003
Jason Connery,3.5799999999999996,6.4,2.8200000000000007
Joe Berlinger,4.0,6.82,2.8200000000000003
Kevin Brodie,3.4,6.2,2.8000000000000003
Yorgos Lanthimos,4.7,7.5,2.8
Taylor Sheridan,4.9,7.7,2.8
Jingming Guo,3.38,6.12,2.74
Charlie Vaughn,3.12,5.84,2.7199999999999998
Adam Rifkin,4.3,7.0,2.7
Bryan Singer,5.2,7.9,2.7
Brian Kelly,2.6,5.3,2.6999999999999997
Nathan Frankowski,4.380000000000001,7.040000000000001,2.66
Andrew Hyatt,3.95,6.6,2.6499999999999995
Damian Lee,2.9,5.5,2.6
Johannes Roberts,2.4,5.0,2.6
Vic Sarin,4.7,7.290000000000001,2.5900000000000007
Tucky Williams,2.4,4.99,2.5900000000000003
Manouchehr Hadi,2.2,4.720000000000001,2.5200000000000005
Angelina Jolie,4.68,7.2,2.5200000000000005
Mehmet Ada Öztekin,5.68,8.2,2.5199999999999996
Yurek Bogayevicz,4.2,6.7,2.5
Olatunde Osunsanmi,2.8,5.3,2.5
Anna Maria Tatò,5.3,7.8,2.5
Bill Fishman,2.6,5.1,2.4999999999999996
Hassen Ferhani,4.369999999999999,6.8,2.4300000000000006
Bharat Nalluri,4.57,7.0,2.4299999999999997
Matt Reeves,5.0,7.4,2.4000000000000004
Kanti Shah,4.58,6.970000000000001,2.3900000000000006
Vasiliy Chiginskiy,3.9200000000000004,6.3,2.3799999999999994
James Keach,5.1,7.460000000000001,2.360000000000001
Christian Duguay,4.9399999999999995,7.3,2.3600000000000003
Terry Ingram,3.5799999999999996,5.92,2.3400000000000003
Charlie Shackleton,6.779999999999999,9.1,2.3200000000000003
Hardy Martins,4.99,7.3,2.3099999999999996
Antoine Fuqua,6.1,8.4,2.3000000000000007
Klaus Menzel,3.9,6.2,2.3000000000000003
Adam Randall,4.5,6.8,2.3
Bob Bragg,4.92,7.2,2.2800000000000002
Tim Pope,4.6,6.88,2.2800000000000002
Tommy Reid,4.2,6.470000000000001,2.2700000000000005
Daisuke Yamanouchi,2.83,5.1,2.2699999999999996
Uwe Boll,2.58,4.83,2.25
Christoph Schrewe,3.3,5.54,2.24
Sean Baker,5.38,7.6,2.2199999999999998
Gillian Armstrong,4.7,6.92,2.2199999999999998
Mark Herman,5.5,7.7,2.2
Jon Turteltaub,3.5,5.7,2.2
Doug Ellin,4.3,6.5,2.2
Eric Schaeffer,4.9,7.1,2.1999999999999993
Julian Grant,3.3,5.49,2.1900000000000004
Ian McCrudden,4.19,6.38,2.1899999999999995
Matt Riddlehoover,5.32,7.5,2.1799999999999997
Damon Santostefano,4.5,6.68,2.1799999999999997
Junichi Suzuki,4.3100000000000005,6.4799999999999995,2.169999999999999
Pepe Danquart,4.340000000000001,6.49,2.1499999999999995
Aku Louhimies,5.6,7.7,2.1000000000000005
Wilson Coneybeare,3.8,5.9,2.1000000000000005
David Hogan,3.5,5.6,2.0999999999999996
Víctor Garcia,2.7,4.8,2.0999999999999996
M. Night Shyamalan,4.5,6.6,2.0999999999999996
Matt Ross,5.7,7.8,2.0999999999999996
Vadim Jean,3.2,5.3,2.0999999999999996
Jake West,4.779999999999999,6.859999999999999,2.08
Kevin Downes,4.1,6.17,2.0700000000000003
Marian Dora,3.3,5.36,2.0600000000000005
Dan Garcia,3.31,5.37,2.06
Akiko Ôku,4.45,6.5,2.05
Yuri Zeltser,5.0,7.05,2.05
Nick Mead,4.5,6.55,2.05
Michael David Pate,2.18,4.2299999999999995,2.0499999999999994
Ted Demme,5.46,7.5,2.04
Angelos Frantzis,5.04,7.08,2.04
Anurag Basu,5.5600000000000005,7.6,2.039999999999999
Wayne Isham,6.57,8.6,2.0299999999999994
Maria Ramos,4.779999999999999,6.790000000000001,2.0100000000000016
Oleg Asadulin,3.63,5.64,2.01
Malcolm Ingram,4.7,6.709999999999999,2.009999999999999
Charles Robert Carner,3.4,5.4,2.0000000000000004
Aleksandr Buravskiy,4.0,6.0,2.0
Zach Lipovsky,3.2,5.2,2.0
Simon Fellows,4.2,6.2,2.0
Waymon Boone,3.7,5.7,2.0
Laurence Malkin,4.3,6.3,2.0
Ross Venokur,3.6,5.6,1.9999999999999996
Richard Boddington,3.1,5.1,1.9999999999999996
Konstantin Maksimov,3.6,5.6,1.9999999999999996
Matthew Hope,3.1,5.1,1.9999999999999996
Hannes Holm,5.16,7.140000000000001,1.9800000000000004
James C.E. Burke,4.5,6.4799999999999995,1.9799999999999995
Paul-Anders Simma,5.55,7.5200000000000005,1.9700000000000006
Evgeny Afineevsky,5.15,7.1,1.9499999999999993
Joel Soisson,3.5200000000000005,5.45,1.9299999999999997
Renpei Tsukamoto,4.85,6.7700000000000005,1.9200000000000008
Nuel C. Naval,5.58,7.5,1.92
John Fortenberry,4.3,6.2,1.9000000000000004
Lev L. Spiro,3.8,5.7,1.9000000000000004
Michael D. Sellers,3.3,5.2,1.9000000000000004
Darren Paul Fisher,4.8,6.7,1.9000000000000004
Dave Payne,2.9,4.8,1.9
Scott Dow,3.6,5.5,1.9
Chris Fisher,3.4,5.3,1.9
Dean Francis,3.7,5.6,1.8999999999999995
James Dodson,4.2,6.1,1.8999999999999995
Justin G. Dyck,4.4,6.3,1.8999999999999995
Kasper Barfoed,4.9,6.8,1.8999999999999995
Robbie Moffat,3.88,5.77,1.8899999999999997
Robert Greenwald,5.0,6.88,1.88
Emmanuel Itier,2.7,4.569999999999999,1.8699999999999992
Gary Wheeler,4.52,6.38,1.8600000000000003
Sherry Hormann,5.74,7.6,1.8599999999999994
Levan Akin,5.74,7.6,1.8599999999999994
Reinert Kiil,2.57,4.42,1.85
Alex Winter,5.5,7.35,1.8499999999999996
Antoine Blossier,5.26,7.1,1.8399999999999999
Alejandro Chomski,4.5,6.33,1.83
Rupesh Paul,3.8600000000000003,5.69,1.83
Lynn Hamrick,4.7,6.5200000000000005,1.8200000000000003
Tamra Davis,5.5,7.31,1.8099999999999996
John Putch,4.0,5.81,1.8099999999999996
Dave Christiano,4.35,6.159999999999999,1.8099999999999996
John Paragon,4.1,5.9,1.8000000000000007
Robert Tinnell,5.1,6.9,1.8000000000000007
Emile Edwin Smith,2.6,4.4,1.8000000000000003
Valerie Breiman,3.6700000000000004,5.470000000000001,1.8000000000000003
Anthony Woodley,3.8,5.6,1.7999999999999998
Daniel Benmayor,3.8,5.6,1.7999999999999998
Michael Davis,4.8,6.6,1.7999999999999998
Chris Foggin,5.2,7.0,1.7999999999999998
Simon Hunter,4.8,6.6,1.7999999999999998
John Krasinski,5.4,7.2,1.7999999999999998
Andy Lauer,2.8,4.6,1.7999999999999998
Johan Nijenhuis,4.4,6.2,1.7999999999999998
Findo Purwono,4.2299999999999995,6.0200000000000005,1.790000000000001
Mike Flanagan,5.51,7.3,1.79
Aditya Datt,4.12,5.9,1.7800000000000002
Larry Brand,3.9200000000000004,5.7,1.7799999999999998
James Balsamo,3.78,5.55,1.77
Andrey Nekrasov,5.4399999999999995,7.2,1.7600000000000007
Phil Leirness,4.76,6.5200000000000005,1.7600000000000007
Heung-sun Jeong,4.25,6.0,1.75
Gavin O'Connor,4.95,6.7,1.75
Paul Solet,5.2,6.93,1.7299999999999995
Jordan Alan,4.4,6.13,1.7299999999999995
Kornél Mundruczó,5.2700000000000005,7.0,1.7299999999999995
Kang Je-kyu,5.6,7.32,1.7200000000000006
Josh Evans,2.8899999999999997,4.61,1.7200000000000006
Steven Hilliard Stern,4.54,6.26,1.7199999999999998
Pierre-François Martin-Laval,5.09,6.8,1.71
Malhotra P. Siddharth,5.79,7.5,1.71
Rafal Zielinski,4.4799999999999995,6.1899999999999995,1.71
Jon Watts,5.7,7.4,1.7000000000000002
Ethan Hawke,4.8,6.5,1.7000000000000002
Bruno Barreto,5.3,7.0,1.7000000000000002
Roland Emmerich,5.0,6.7,1.7000000000000002
Jennifer Lynch,4.7,6.4,1.7000000000000002
Lars Kraume,5.7,7.4,1.7000000000000002
Rich Ragsdale,3.0,4.7,1.7000000000000002
René Manzor,5.1,6.8,1.7000000000000002
