Country Name,Country GdpPerPopulation Rank,Weak Impact Rank,Strong Impact Rank,Weak Hegemony Indicator,Strong Hegemony Indicator
United Arab Emirates,28,47,117,-19,-89
United Kingdom of Great Britain,17,2,166,15,-149
United States of America,9,1,153,8,-144
Uruguay,67,48,69,19,-2
Uzbekistan,165,51,42,114,123
Venezuela (Bolivarian Republic of),100,56,157,44,-57
Viet Nam,174,28,132,146,42
Virgin Islands (U.S.),16,153,173,-137,-157
Yemen,147,106,85,41,62
Zambia,151,190,2,-39,149
Zimbabwe,153,143,16,10,137
