Director,First Average Rating,Last Average Rating,Career Progression Rating
Joe Berlinger,4.0,6.796,2.7960000000000003
Anubhav Sinha,4.62,7.396,2.776
Vic Sarin,4.46,7.2,2.74
Matthew Warchus,5.568,8.088,2.5199999999999996
Angelina Jolie,4.692,7.2,2.508
Alexandre Arcady,5.02,7.5,2.4800000000000004
Fisher Stevens,5.62,8.056,2.435999999999999
Christian Duguay,4.868,7.3,2.4319999999999995
Matt Reeves,5.0,7.4,2.4000000000000004
Yutaka Ikejima,4.784000000000001,7.184,2.3999999999999995
Jingming Guo,3.6759999999999997,6.064,2.3880000000000003
Park Chan-wook,5.716,8.1,2.3839999999999995
Lyndon Chubbuck,3.58,5.916,2.3360000000000003
Shimon Dotan,4.539999999999999,6.827999999999999,2.2880000000000003
Harry Bromley Davenport,3.488,5.756,2.2680000000000002
Joseph Kahn,4.1,6.32,2.2200000000000006
Robert Greenwald,4.976,7.127999999999999,2.1519999999999992
Jason Connery,3.588,5.7,2.112
Aku Louhimies,5.6,7.7,2.1000000000000005
David Hogan,3.5,5.6,2.0999999999999996
Bharat Nalluri,4.924,7.0,2.0759999999999996
Adam Rifkin,4.412,6.4479999999999995,2.0359999999999996
Pepe Danquart,4.908,6.88,1.9719999999999995
Johannes Roberts,3.1079999999999997,5.0,1.8920000000000003
Víctor Garcia,3.0,4.864,1.8639999999999999
Mark Herman,5.84,7.7,1.8600000000000003
Bryan Fogel,5.996,7.82,1.8239999999999998
Claudio Fragasso,3.48,5.3,1.8199999999999998
Vivek Agnihotri,5.116,6.9239999999999995,1.8079999999999998
Alex Zamm,3.304,5.096,1.7920000000000003
Eric Schaeffer,5.1160000000000005,6.8839999999999995,1.767999999999999
Mat Whitecross,6.164,7.9079999999999995,1.7439999999999998
John Madden,5.771999999999999,7.5,1.7280000000000006
Uwe Boll,2.844,4.572,1.7280000000000002
Pierre-François Martin-Laval,5.0840000000000005,6.8,1.7159999999999993
Kornél Mundruczó,5.287999999999999,7.0,1.7120000000000006
Thor Freudenthal,5.5,7.2,1.7000000000000002
Yorgos Lanthimos,5.8,7.5,1.7000000000000002
Jon Watts,5.7,7.4,1.7000000000000002
John R. Leonetti,3.6,5.3,1.6999999999999997
Brad Peyton,4.4,6.1,1.6999999999999993
Avi Nesher,5.12,6.811999999999999,1.6919999999999993
Michael Tollin,5.247999999999999,6.912000000000001,1.6640000000000015
Angela Robinson,5.38,7.0,1.62
