Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Todd Phillips,2709570,37444900,34735330
George Miller,1293475,27511645,26218170
Bong Joon Ho,259550,24145325,23885775
Ryan Coogler,2150575,20998825,18848250
James Gunn,2227625,19050400,16822775
Scott Derrickson,3509575,20197225,16687650
Rian Johnson,2754625,19422000,16667375
Denis Villeneuve,111825,16731200,16619375
Alejandro G. Iñárritu,6335775,21926375,15590600
Joss Whedon,7653125,23112725,15459600
Gareth Edwards,2445375,17220050,14774675
Baz Luhrmann,736675,14973025,14236350
Mel Gibson,776475,14938225,14161750
Jon Watts,659425,13993600,13334175
Christopher Nolan,2552375,14888350,12335975
James Mangold,551485,11979125,11427640
Taika Waititi,674305,11078225,10403920
Guillermo del Toro,830300,11214775,10384475
Morten Tyldum,1018868,11241575,10222707
Susanne Bier,10417,9695625,9685208
Peyton Reed,2655425,11286450,8631025
Christopher McQuarrie,882375,9484025,8601650
Noah Baumbach,299989,8686800,8386811
Alan Taylor,67485,7328050,7260565
Kenneth Lonergan,786725,7877600,7090875
Matt Reeves,290400,7334600,7044200
M. Night Shyamalan,78700,6892125,6813425
Noam Murro,1173464,7912050,6738586
Jordan Vogt-Roberts,2112600,8752175,6639575
John Krasinski,244370,6867525,6623155
Jake Kasdan,530467,7124850,6594383
Ted Demme,504746,6892200,6387454
James Gray,243220,6530375,6287155
Daniel Espinosa,223477,6370850,6147373
Mark Herman,162520,6195075,6032555
Steven Spielberg,6845350,12216225,5370875
James Cameron,29442550,34748825,5306275
Mike Flanagan,242765,5484200,5241435
Roar Uthaug,491900,5692550,5200650
Zack Snyder,6830675,11988125,5157450
Jon Turteltaub,312768,5208000,4895232
Jon Favreau,1944510,6696250,4751740
Tom Ford,2948475,7640250,4691775
Justin Lin,1784059,6475425,4691366
Jonathan Liebesman,836450,5516925,4680475
Lee Toland Krieger,461928,5108300,4646372
Yorgos Lanthimos,1257939,5873100,4615161
Dexter Fletcher,350540,4890700,4540160
J.A. Bayona,4096300,8634825,4538525
Chloé Zhao,231274,4605200,4373926
Brad Peyton,406375,4651325,4244950
Theodore Melfi,2174665,6408750,4234085
Matthew Vaughn,4901850,9106875,4205025
Matt Ross,1715615,5893775,4178160
David Twohy,289024,4459525,4170501
