Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
David F. Sandberg,3569075,7723250,4154175
Park Chan-wook,247001,4347200,4100199
Alex Kurtzman,1105200,5170050,4064850
Edgar Wright,11325628,15366025,4040397
David Gordon Green,240625,4238775,3998150
Gina Prince-Bythewood,628160,4610400,3982240
Trey Parker,552547,4471850,3919303
Stephen Norrington,711988,4607075,3895087
Kinji Fukasaku,980429,4872650,3892221
Kevin Lima,1574900,5444350,3869450
Alfonso Cuarón,395957,4253875,3857918
Stefano Sollima,355449,4196800,3841351
Michael Davis,56930,3880125,3823195
Antonio Campos,100156,3834300,3734144
Tony Scott,1503880,5203950,3700070
Thomas Vinterberg,1238478,4905950,3667472
Nick Cassavetes,103631,3759525,3655894
Sam Raimi,1751050,5362775,3611725
Adam Brooks,761296,4339150,3577854
Nikolaj Arcel,77035,3651725,3574690
Taylor Sheridan,3464601,7038600,3573999
Seth Gordon,1503136,5068700,3565564
Tony Gilroy,4358350,7902475,3544125
Patrick Hughes,2666213,6197225,3531012
Craig Gillespie,2590583,6088775,3498192
Leigh Whannell,2974900,6420200,3445300
Cathy Yan,3210490,6639175,3428685
Corin Hardy,922454,4281150,3358696
Sylvester Stallone,5797225,9135550,3338325
Brett Ratner,784950,4116225,3331275
Wes Craven,994425,4291325,3296900
Niki Caro,707117,3986200,3279083
Patty Jenkins,4058450,7312625,3254175
Bruce A. Evans,723778,3913250,3189472
Sean Baker,92629,3229050,3136421
Kyle Newacheck,1106148,4239875,3133727
Lisa Cholodenko,297385,3363950,3066565
Allen Coulter,900425,3901400,3000975
Nancy Meyers,3886825,6887250,3000425
J Blakeson,690750,3667500,2976750
Martin Campbell,115730,3090250,2974520
Alan Parker,184671,3157425,2972754
Damián Szifron,2456991,5429475,2972484
Alexander Payne,175609,3129725,2954116
Lynne Ramsay,295265,3201525,2906260
Ang Lee,219879,3063075,2843196
Andy Muschietti,4784750,7585775,2801025
Ric Roman Waugh,604161,3389925,2785764
David O. Russell,222328,2965035,2742707
Rob Letterman,1844875,4580850,2735975
S.S. Rajamouli,144245,2867350,2723105
Wes Anderson,2092450,4786650,2694200
Jean-Marc Vallée,144515,2819075,2674560
Gary Winick,11674,2685850,2674176
Gary Ross,3415475,6073225,2657750
Mike Nichols,486075,3127350,2641275
Sidney Lumet,167427,2800050,2632623
Shawn Levy,361119,2981475,2620356
Brad Bird,5713250,8317475,2604225
Michael Dougherty,2619025,5218575,2599550
J.J. Abrams,9790800,12384275,2593475
John Hamburg,510519,3100725,2590206
Anand Tucker,195154,2771925,2576771
Craig Zobel,680611,3239850,2559239
Greg Berlanti,598103,3156700,2558597
Adam Robitel,1013275,3564525,2551250
Danny Boyle,1662125,4208525,2546400
Terry George,1924515,4467175,2542660
David Frankel,88125,2628950,2540825
Alejandro Agresti,6360,2532238,2525878
Gary Fleder,746175,3269725,2523550
Jon M. Chu,2278925,4771225,2492300
Doug Liman,1330820,3804502,2473682
Céline Sciamma,337775,2756100,2418325
Peter Weir,647325,3055225,2407900
Lenny Abrahamson,80388,2471670,2391282
Todd Haynes,236674,2607825,2371151
Pitof,784516,3150250,2365734
Dan Mazer,985200,3341175,2355975
Martin McDonagh,11564800,13920000,2355200
Felix van Groeningen,162425,2517625,2355200
Joshua Michael Stern,249275,2599900,2350625
Christian Ditter,35510,2366300,2330790
David Michôd,1515925,3845450,2329525
Mikael Håfström,598957,2898802,2299845
Sriram Raghavan,284780,2578150,2293370
Nadine Labaki,365950,2653300,2287350
Tommy Wirkola,1093705,3374850,2281145
Paul Thomas Anderson,1375625,3650375,2274750
Paul Greengrass,137556,2396750,2259194
Antoine Fuqua,764750,3016800,2252050
Nora Ephron,984885,3227750,2242865
Bruce Robinson,464050,2702975,2238925
Jodie Foster,402875,2638125,2235250
James Ponsoldt,281380,2514475,2233095
Jonathan Glazer,1741925,3969125,2227200
Brad Anderson,113392,2328000,2214608
Jonathan Levine,870325,3053100,2182775
Beeban Kidron,33814,2210586,2176772
John Wells,1209700,3331925,2122225
Susan Johnson,1009138,3111450,2102312
Aaron Schneider,784308,2886600,2102292
Mark Dindal,431106,2528125,2097019
Paul Feig,204693,2266525,2061832
Michael Cuesta,231755,2285650,2053895
Michael Matthews,1619793,3649975,2030182
John Madden,63602,2070325,2006723
Denzel Washington,962975,2961025,1998050
Rick Famuyiwa,256299,2235450,1979151
Doug Ellin,101383,2074950,1973567
Sergei Bodrov,67396,2014825,1947429
Lee Daniels,1049730,2997075,1947345
Clint Eastwood,557446,2454325,1896879
John Whitesell,105834,1979750,1873916
Sydney Pollack,911440,2777450,1866010
Todd Field,1062350,2924625,1862275
Ruben Östlund,84370,1940400,1856030
Julius Avery,817823,2671175,1853352
John Erick Dowdle,499643,2338200,1838557
Ol Parker,902950,2738925,1835975
Sebastián Cordero,63427,1892750,1829323
John Carney,704050,2532500,1828450
Jeff Orlowski-Yang,422468,2242000,1819532
Donovan Marsh,43466,1848550,1805084
David Dobkin,782353,2572600,1790247
John Lee Hancock,821054,2601550,1780496
Roland Emmerich,597360,2370075,1772715
Lee Chang-dong,175912,1919225,1743313
William Eubank,707663,2449175,1741512
Lars von Trier,581100,2314975,1733875
Hany Abu-Assad,317712,2026250,1708538
Jacques Audiard,58673,1766825,1708152
David Mackenzie,324750,2031900,1707150
D.J. Caruso,737472,2435725,1698253
Christine Jeffs,166298,1855550,1689252
Dave Green,816421,2502175,1685754
Scott Frank,1515225,3187600,1672375
Adam Wingard,600812,2266925,1666113
Darren Aronofsky,4667675,6262550,1594875
Lee Isaac Chung,886266,2444850,1558584
Panos Cosmatos,717190,2255650,1538460
Dominic Cooke,313425,1850900,1537475
James Foley,330293,1862225,1531932
Michael Hoffman,434780,1940500,1505720
Luca Guadagnino,82609,1582276,1499667
Nicolas Winding Refn,1117000,2604400,1487400
Rowan Joffe,634906,2108850,1473944
Pawel Pawlikowski,85140,1551200,1466060
Jonas Åkerlund,1020525,2483800,1463275
Jocelyn Moorhouse,205395,1645125,1439730
Brian Helgeland,3651250,5078975,1427725
Paul Weiland,485466,1904825,1419359
Kornél Mundruczó,15738,1410675,1394937
Steven Caple Jr.,2513804,3901550,1387746
Joe Berlinger,1002125,2389277,1387152
Baltasar Kormákur,161538,1548450,1386912
Hans Petter Moland,50293,1432205,1381912
Wolfgang Becker,26291,1401440,1375149
Lasse Hallström,628119,1981975,1353856
James Wan,11705275,13055500,1350225
Shekhar Kapur,533373,1880425,1347052
Peter Chelsom,64036,1407500,1343464
Cary Joji Fukunaga,852125,2176075,1323950
Stuart Beattie,801050,2100275,1299225
Adam Randall,380735,1679200,1298465
Christopher Landon,544537,1821500,1276963
Travis Knight,3467825,4735750,1267925
Gavin O'Connor,66749,1328575,1261826
Howard McCain,712997,1970325,1257328
Tom McCarthy,1840625,3083853,1243228
Rob Bowman,1218155,2452800,1234645
Gore Verbinski,1515550,2749200,1233650
Peter Berg,1226725,2452450,1225725
Maren Ade,81879,1304725,1222846
Niels Arden Oplev,60288,1277125,1216837
Richard Shepard,26634,1240075,1213441
Stephen Sommers,231800,1440025,1208225
Joe Carnahan,785360,1989950,1204590
Anurag Basu,147043,1348512,1201469
Michael Rymer,73680,1265163,1191483
Chris Gorak,409635,1599075,1189440
Gregory Jacobs,356434,1536925,1180491
Mahesh Bhatt,51849,1212212,1160363
Mike Newell,167074,1323175,1156101
Pedro Almodóvar,437450,1583175,1145725
Yash Chopra,337354,1481325,1143971
Shane Meadows,82252,1221084,1138832
Pat O'Connor,114317,1252243,1137926
Kimberly Peirce,2586625,3711350,1124725
Hannes Holm,79525,1200712,1121187
Tom Tykwer,76589,1188750,1112161
Jim Mickle,424905,1535450,1110545
Martin Koolhoven,25776,1133475,1107699
Mark Williams,341275,1447950,1106675
Dome Karukoski,64776,1170500,1105724
Danny Cannon,553581,1652150,1098569
Levan Gabriadze,789356,1878778,1089422
Paul Schrader,169268,1258085,1088817
Ben Young,381936,1446600,1064664
Krzysztof Kieslowski,1328075,2392032,1063957
Howard Deutch,99980,1161825,1061845
Jake Schreier,1645750,2704450,1058700
Corey Yuen,105573,1159325,1053752
Björn Runge,22887,1074400,1051513
Nick Hurran,26540,1072250,1045710
Kristian Levring,38090,1082475,1044385
Tony Leondis,750149,1783775,1033626
Martin Weisz,667845,1694725,1026880
Jonathan Kasdan,817275,1843175,1025900
Andy Serkis,619000,1644450,1025450
Scott Sanders,117643,1142653,1025010
Gerard McMurray,758855,1782350,1023495
Jim Sheridan,712275,1733625,1021350
Damien Leone,312100,1329750,1017650
Betty Thomas,353232,1369075,1015843
Richard Stanley,401438,1414475,1013037
Steve Bendelack,1690210,2700300,1010090
John Frankenheimer,54515,1061075,1006560
Dominic Sena,1460375,2460450,1000075
Claire Denis,32329,1030925,998596
Anders Thomas Jensen,607873,1599500,991627
Predrag Antonijevic,255376,1242370,986994
Akiva Schaffer,2342775,3329075,986300
Haruo Sotozaki,622962,1607302,984340
Florian Gallenberger,118309,1091510,973201
Audrey Wells,526289,1498825,972536
Kabir Khan,156847,1119465,962618
Susanna Fogel,1118934,2080700,961766
Cameron Crowe,819050,1780025,960975
John Luessenhop,447290,1404250,956960
David Yarovesky,1751342,2705675,954333
Craig Mazin,944000,1898200,954200
Terry Jones,266998,1215925,948927
Alexandre Aja,1410874,2359525,948651
Gene Quintano,334245,1281775,947530
Chris Nelson,135038,1081325,946287
Danny DeVito,621100,1556200,935100
Vince Marcello,16167,950925,934758
Akan Satayev,16181,950032,933851
Kevin Rodney Sullivan,216550,1146225,929675
Ridley Scott,4350825,5273830,923005
Chris Smith,336496,1256651,920155
Yeon Sang-ho,37876,950975,913099
Stephen Gaghan,876585,1789200,912615
Tom Hooper,497505,1401325,903820
Bennett Miller,2834830,3738350,903520
Sean Anders,2113543,3017000,903457
David Dhawan,70170,972739,902569
Wilson Yip,26071,921975,895904
Gavin Hood,481585,1369850,888265
Jeff Chan,438352,1320550,882198
Derrick Borte,1046025,1927925,881900
Kazuaki Kiriya,262560,1143300,880740
Ed Harris,741950,1621125,879175
Tony Bill,247886,1114950,867064
William Friedkin,178185,1036779,858594
Mel Brooks,283875,1132750,848875
Mike Cahill,2504525,3348000,843475
Leos Carax,387575,1225675,838100
Paco Cabezas,45112,882359,837247
Don Coscarelli,246727,1077531,830804
Bill Condon,359425,1182325,822900
Jason Howden,941048,1755800,814752
Kirsten Sheridan,1191090,2005766,814676
Tony Goldwyn,340395,1153000,812605
Antonia Bird,276525,1083850,807325
Gregor Jordan,342050,1146043,803993
Asghar Farhadi,153283,954450,801167
George C. Wolfe,660150,1451575,791425
Jasmila Zbanic,172325,958200,785875
Roger Donaldson,379506,1155719,776213
Robert Connolly,63171,837175,774004
David Kellogg,504758,1274600,769842
Andrew Jarecki,747352,1513850,766498
Bobcat Goldthwait,115611,881874,766263
Steve McQueen,1841775,2607875,766100
Michael Apted,204965,970950,765985
Giuseppe Tornatore,111275,866204,754929
Mike Mills,484666,1238950,754284
Alice Wu,337200,1088200,751000
Charles Herman-Wurmfeld,474505,1224156,749651
Oliver Stone,3336255,4085075,748820
Carl Franklin,324099,1068261,744162
Jeff Wadlow,714275,1458350,744075
Malcolm D. Lee,370411,1114225,743814
James DeMonaco,2016408,2759675,743267
Rob Schmidt,341850,1084816,742966
Dean Israelite,2109325,2851825,742500
David Leitch,5180475,5922900,742425
David Lowery,503937,1242625,738688
Clea DuVall,450501,1187925,737424
Ildikó Enyedi,12235,749150,736915
Johannes Roberts,42437,772300,729863
Andrew Dominik,1040400,1766157,725757
Brian Percival,2854335,3563550,709215
Tim Story,773055,1473225,700170
Hun Jang,91254,789325,698071
Gideon Raff,121867,816925,695058
Mike Barker,150355,841125,690770
Paul King,1676824,2362200,685376
Taylor Hackford,860250,1541565,681315
Marielle Heller,840900,1520921,680021
Jaco Van Dormael,162648,841852,679204
Baran bo Odar,180650,859725,679075
Michael Engler,911393,1589950,678557
Michael Tollin,383952,1058458,674506
Craig Brewer,953276,1627325,674049
Gilles Paquet-Brenner,23478,690875,667397
James L. Brooks,704671,1367100,662429
Rod Lurie,359819,1020725,660906
Luis Llosa,254574,913931,659357
Sebastian Schipper,116788,771686,654898
Erik Van Looy,158369,813068,654699
Éric Lartigau,97609,747075,649466
Rodman Flender,27150,674278,647128
Michael Showalter,281677,927942,646265
Alan J. Pakula,1149125,1795250,646125
Brandon Cronenberg,509144,1153025,643881
Hugh Wilson,517119,1160637,643518
Gregg Araki,110084,750725,640641
Ari Aster,9521425,10159900,638475
Luis Prieto,342259,979125,636866
Burr Steers,883575,1515550,631975
Andrea Arnold,534030,1165625,631595
Tamra Davis,105990,728383,622393
Marcos Siega,217239,839175,621936
Steven Brill,851073,1472625,621552
Colm McCarthy,997135,1615325,618190
Mike Binder,89716,691155,601439
Siddharth Anand,221282,817415,596133
David M. Rosenthal,103060,696865,593805
Jim Fall,462361,1054975,592614
Guy Ferland,146957,738975,592018
Patrick Lussier,914150,1503374,589224
Liz Garbus,44232,626750,582518
Kitty Green,76118,657900,581782
Patrick Alessandrin,70612,651547,580935
Bob Clark,123616,698993,575377
F. Javier Gutiérrez,509736,1082700,572964
Toa Fraser,47266,618950,571684
F. Gary Gray,3125550,3689925,564375
Ross Katz,592420,1151350,558930
Stuart Baird,1543200,2101975,558775
Eliza Hittman,222343,780750,558407
Matthew Warchus,499735,1053961,554226
Ben Stiller,1344650,1893900,549250
Tom Ropelewski,200801,744033,543232
Tom Harper,396112,938425,542313
Spike Lee,390532,931392,540860
Mark Romanek,3300450,3839250,538800
Jay Russell,538663,1076450,537787
Sam Miller,20628,551750,531122
Ken Loach,118570,648725,530155
Patricia Riggen,185552,712875,527323
Joachim Trier,392250,918300,526050
Ciarán Foy,504201,1025075,520874
Alan Rickman,115528,636400,520872
John Polson,251434,770144,518710
Marc Forster,1608454,2127000,518546
Tatsuya Nagamine,280637,794750,514113
John Hyams,212301,725250,512949
Olivier Dahan,21888,530600,508712
Justin Zackham,794300,1300000,505700
Tod Williams,263335,768725,505390
Jim Jarmusch,1655550,2160400,504850
Michael Lehmann,470559,968369,497810
Michael Noer,565817,1060618,494801
Peter Kosminsky,359125,853650,494525
Vic Armstrong,156550,650345,493795
Wayne Roberts,445886,938000,492114
Kasi Lemmons,280736,770875,490139
Kyle Rankin,199599,688975,489376
Harald Zwart,244550,732775,488225
Luc Besson,1915100,2398525,483425
Brett Haley,216657,698008,481351
Andrea Di Stefano,585300,1055675,470375
Glenn Gordon Caron,68590,537625,469035
Ramin Bahrani,100884,569300,468416
Keenen Ivory Wayans,1034673,1501025,466352
Vetrimaaran,222712,687105,464393
Daniel Benmayor,42766,504650,461884
Alain Desrochers,23441,484538,461097
David Koepp,202325,650700,448375
John Carpenter,675900,1123850,447950
Bharat Nalluri,35154,482825,447671
Julian Schnabel,557872,1004250,446378
Ben Wheatley,723690,1168500,444810
Wolfgang Petersen,286475,730503,444028
Rod Daniel,300692,744475,443783
Richard Berry,37427,479975,442548
Kelly Reichardt,109240,551725,442485
George Tillman Jr.,566124,1007375,441251
Cate Shortland,251629,692825,441196
Abderrahmane Sissako,17749,457825,440076
Vivek Agnihotri,82848,522426,439578
Sydney Sibilia,189065,623925,434860
Alice Rohrwacher,89235,520925,431690
Nicole Holofcener,140131,570505,430374
Rupert Wainwright,554875,981825,426950
Whit Stillman,236353,661825,425472
Ali Abbasi,436247,861175,424928
George Hickenlooper,18394,442875,424481
R.J. Cutler,1404525,1828647,424122
Aisling Walsh,120125,542625,422500
Isao Takahata,935750,1358050,422300
S. Shankar,213104,635361,422257
Sanjay Leela Bhansali,513853,934785,420932
Fernando León de Aranoa,145445,561600,416155
Gregory Dark,9454,423347,413893
Tyler Spindel,502650,916130,413480
Paul W.S. Anderson,1294860,1708325,413465
Ken Kwapis,335900,746425,410525
Nishikant Kamat,557321,966891,409570
Peter MacDonald,236258,645725,409467
Vishal Bhardwaj,243679,652367,408688
Hsiao-Hsien Hou,42781,451000,408219
Neil Jordan,554111,955925,401814
Rebecca Miller,58324,459600,401276
Nuri Bilge Ceylan,167531,563735,396204
Nicolas Pesce,339280,735275,395995
Anthony Minghella,185940,581400,395460
John Maybury,80424,474625,394201
Tom Holland,150910,543581,392671
Hyung-rae Shim,26182,418186,392004
Peter Medak,180828,569248,388420
Nash Edgerton,418400,806375,387975
Jonathan Teplitzky,61690,448995,387305
Walter Salles,352725,739081,386356
Rakesh Roshan,231268,616721,385453
Steve Beck,2352400,2734050,381650
Brian Robbins,744463,1125350,380887
David Wnendt,203018,583859,380841
Forest Whitaker,305975,686175,380200
Josh Stolberg,46047,424275,378228
Olaf de Fleur Johannesson,6784,378550,371766
Jonathan Lynn,645922,1015575,369653
Edward Yang,321200,687625,366425
Alberto Rodríguez,44709,410133,365424
Fumihiko Sori,163252,528650,365398
Pascal Laugier,633810,998150,364340
Janus Metz,499855,861550,361695
David Mamet,177537,538400,360863
Frank A. Cappello,74864,427620,352756
John Suits,152243,500300,348057
Chris McKay,3983895,4330275,346380
Christoffer Boe,145563,489325,343762
Diederik Van Rooijen,92997,435002,342005
Billy Ray,944025,1285975,341950
Andy Cadiff,406669,748479,341810
Nicholas Hytner,461650,801800,340150
James Keach,13703,352334,338631
Robin Campillo,83250,419575,336325
Marshall Herskovitz,156060,492000,335940
Álex de la Iglesia,307647,642927,335280
William Bindley,23334,358600,335266
Edoardo Ponti,54659,389825,335166
Mira Nair,133285,468125,334840
Nick Gomez,58761,390175,331414
Rick Jacobson,9525,340196,330671
Claude Zidi,51835,382358,330523
Ziad Doueiri,123840,453325,329485
Ariel Vromen,59745,388600,328855
Miguel Arteta,55313,383175,327862
Jeff Nichols,1157182,1483225,326043
Matteo Garrone,45328,369900,324572
Yôjirô Takita,16277,340839,324562
Asif Kapadia,136957,457625,320668
Nicolas Bedos,172372,491750,319378
Marco Bellocchio,7518,326375,318857
Jonathan Kaplan,287211,602275,315064
Joan Chen,338730,652078,313348
Charles Ferguson,1273140,1583770,310630
Heitor Dhalia,78944,388705,309761
Jesse Peretz,313520,619475,305955
Pete Travis,3855150,4161096,305946
Remo D'Souza,143887,448006,304119
Victor Levin,535300,837600,302300
Sophia Takal,185217,479300,294083
Josephine Decker,41059,334800,293741
Clare Kilner,201205,494566,293361
Bruce Beresford,120820,412643,291823
Joanna Hogg,72626,363625,290999
Des McAnuff,71075,361899,290824
Stacy Title,361905,651875,289970
John Gulager,848025,1137025,289000
Ulu Grosbard,219441,508050,288609
Kim Nguyen,122628,411100,288472
Brett Donowho,47348,334825,287477
Olivier Megaton,25055,311850,286795
Petter Næss,274090,559950,285860
Reed Morano,206856,492350,285494
Mélanie Laurent,121924,406950,285026
Olivier Assayas,14704,299425,284721
Andreas Prochaska,47249,331391,284142
Kar-Wai Wong,640225,921450,281225
Nelson McCormick,688980,969425,280445
Eugene Kotlyarenko,107617,387526,279909
Deon Taylor,78617,357075,278458
Richard Schenkman,11093,289341,278248
Erik Poppe,103410,380720,277310
John Gray,140315,416831,276516
Sammo Kam-Bo Hung,16111,286565,270454
Kasper Barfoed,28294,296490,268196
John Crowley,415400,678175,262775
Brady Corbet,228260,490100,261840
Alexander Nanau,78163,337175,259012
Nisha Ganatra,78797,337100,258303
Bryan Fogel,628171,884595,256424
Dimitri Logothetis,7582,259550,251968
John Fawcett,33700,285650,251950
Patricia Rozema,150360,402279,251919
David S. Ward,419227,669975,250748
Egor Baranov,16471,267025,250554
Shûsuke Kaneko,62108,312568,250460
David E. Talbert,269382,519300,249918
Diane Keaton,81775,329750,247975
Carlo Carlei,69240,316500,247260
Josh Radnor,763275,1009775,246500
Paolo Genovese,70851,317275,246424
Na Hong-jin,1825650,2069250,243600
Jane Campion,478116,720175,242059
Edward Norton,1332050,1573700,241650
François Ozon,95399,336425,241026
Stewart Hendler,274266,515125,240859
Justin G. Dyck,5267,245347,240080
Aku Louhimies,83854,323925,240071
Rajkumar Hirani,2138640,2378657,240017
Christopher Monger,14135,253848,239713
Afonso Poyart,1154359,1391975,237616
Angela Robinson,480704,718100,237396
Joe Roth,355510,592644,237134
Adam Mason,54475,291500,237025
Sanjay Gadhvi,334881,571540,236659
Glen Morgan,531520,767500,235980
Alfonso Gomez-Rejon,540822,776250,235428
Paco Plaza,62602,298006,235404
Sebastián Lelio,89558,324925,235367
Antonio Negret,178682,413275,234593
Destin Daniel Cretton,1666353,1900325,233972
Mong-Hong Chung,23659,256175,232516
Chris Fisher,96449,326025,229576
Oz Perkins,624753,854175,229422
Michael Polish,110190,335475,225285
Ti West,297722,522543,224821
Rohit Shetty,225411,449029,223618
Brian Kirk,1646410,1869700,223290
Philip Kaufman,355575,578600,223025
Philippe de Chauveron,19125,242075,222950
Christophe Gans,341200,563950,222750
Jon Amiel,156760,378675,221915
Michael Cohn,30249,251306,221057
Kevin Bray,391925,611845,219920
Mabrouk El Mechri,767927,987150,219223
Zackary Adler,73701,292400,218699
Götz Spielmann,43916,260702,216786
Jan Komasa,225985,441575,215590
Kathryn Bigelow,1187210,1401625,214415
Michael Almereyda,50676,264400,213724
Emilio Martínez Lázaro,23881,233486,209605
Mark Rosman,117345,326710,209365
Jessica Hausner,27343,234950,207607
John Duigan,126919,333532,206613
John Roberts,122377,327575,205198
Fatih Akin,257155,459500,202345
Trevor Nunn,160675,361725,201050
Jon Gunn,52485,252700,200215
Gorô Miyazaki,1108450,1308125,199675
Lance Daly,107549,306720,199171
Ariel Winograd,31143,230051,198908
Laurent Bouhnik,13716,212093,198377
John Curran,221152,417240,196088
Woo-Ping Yuen,50178,246250,196072
Daniel Barnz,776914,972975,196061
Brian Skiba,10024,206042,196018
David Mackay,13528,207790,194262
Stephen Frears,765900,958725,192825
Greg Barker,18950,211590,192640
Louis Morneau,27399,219636,192237
Claude Berri,109842,301740,191898
Kirk Jones,702600,893400,190800
Benedikt Erlingsson,93215,283300,190085
Robert Budreau,180056,368975,188919
Jesse V. Johnson,30266,219076,188810
Eric Red,144780,330275,185495
Sara Colangelo,278247,461250,183003
Shinji Higuchi,101110,283756,182646
Joe Swanberg,34329,216663,182334
Michel Franco,59313,241600,182287
Roland Suso Richter,32092,214239,182147
Julian Gilbey,294489,476510,182021
Mikael Marcimain,104035,285325,181290
Kenny Ortega,699747,880940,181193
Fred Durst,123158,304216,181058
Pietro Marcello,11681,192500,180819
Tony Giglio,75088,254822,179734
Michael Dowse,371524,549880,178356
Jennifer Lynch,328825,506242,177417
Mitja Okorn,92415,268600,176185
Christian Petzold,56275,232250,175975
David Gelb,934653,1110524,175871
Stephen Kay,163882,339294,175412
Brian Smrz,229415,404175,174760
Marius Holst,16934,190973,174039
Kevin Allen,145769,319569,173800
Morgan Neville,266578,440273,173695
Lajos Koltai,179225,352250,173025
Tetsuya Nakashima,124539,297543,173004
Gregory Nava,113050,285650,172600
David Leland,45674,218225,172551
Safy Nebbou,16218,188450,172232
Randall Miller,196882,368793,171911
Christian Volckman,425786,594100,168314
Elissa Down,162812,330675,167863
Courtney Hunt,662050,828850,166800
Marc Munden,85611,252175,166564
Vincent Perez,65871,231697,165826
Joram Lürsen,82213,247896,165683
Peter Bogdanovich,159538,324985,165447
Rodrigo García,150470,314275,163805
Raoul Peck,18905,182500,163595
Won Shin-yeon,36931,200500,163569
Phil Joanou,621950,785310,163360
J.S. Cardone,20548,183692,163144
Kirill Serebrennikov,28843,191098,162255
Zoe Lister-Jones,256215,416025,159810
Karim Aïnouz,64487,223535,159048
Asger Leth,3495108,3652847,157739
Breck Eisner,2596450,2753500,157050
Daisy von Scherler Mayer,160587,317595,157008
Ronny Yu,67673,224223,156550
John Turturro,80762,235580,154818
Martha Coolidge,136700,291214,154514
Trivikram Srinivas,242331,396427,154096
Fred Cavayé,254451,408152,153701
Ryan Murphy,579500,732750,153250
Jung Byung-gil,268547,421650,153103
Bart Freundlich,63107,216100,152993
Raymond De Felitta,34426,187068,152642
Ryoo Seung-wan,58784,211262,152478
Gillian Armstrong,18787,171137,152350
Chris Rock,531500,682529,151029
Dong-hoon Choi,70185,221110,150925
Ekachai Uekrongtham,47680,197886,150206
Oleg Stepchenko,65992,214950,148958
Peter Sullivan,39885,187443,147558
Kari Skogland,84678,231690,147012
Roschdy Zem,27406,174105,146699
Pablo Larraín,86454,232250,145796
Andrew Bujalski,56550,201509,144959
Sherry Hormann,85132,228268,143136
Curtis Hanson,387344,530000,142656
Robert Schwentke,400425,542725,142300
Mohammad Rasoulof,16022,156725,140703
Teddy Chan,8016,148326,140310
Jim Abrahams,260011,400150,140139
Sylvain White,823335,963225,139890
Pernille Fischer Christensen,38203,177829,139626
Alice Winocour,86955,226100,139145
Kaouther Ben Hania,39491,178550,139059
Liv Ullmann,15883,154525,138642
Hannah Fidell,135825,273991,138166
Aleksandr Rogozhkin,9286,146048,136762
François Dupeyron,17233,153425,136192
Alastair Orr,87367,223523,136156
Hèctor Hernández Vicens,170275,306067,135792
Alain Guiraudie,8494,143490,134996
Hu Guan,46335,180850,134515
Tyler Perry,294019,428350,134331
Nick Hamm,76484,210325,133841
Nadav Lapid,23980,157525,133545
Bob Misiorowski,9590,143108,133518
Aaron Sorkin,4714950,4848300,133350
Kelly Makin,72549,205850,133301
Mat Whitecross,72075,205338,133263
George Gallo,147940,281175,133235
April Mullen,82344,215238,132894
Kat Coiro,175960,308700,132740
Alex van Warmerdam,75681,207502,131821
Scott Wiper,513985,645770,131785
Mohit Suri,112470,243992,131522
Alain Gsponer,15871,147133,131262
Lars Kraume,20463,151457,130994
Mia Hansen-Løve,56485,186383,129898
