Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Michael Lehmann,4115490,4647653,532163
François Ozon,645883,1170560,524677
Peter Berg,9560404,10078752,518348
Greg McLean,4663310,5156281,492971
Robert Altman,4265090,4713847,448757
Zhangke Jia,388198,828802,440604
Andrew Lau,124312,563682,439370
Bertrand Tavernier,227825,645590,417765
David Gordon Green,10117043,10517280,400237
Marco Bellocchio,149720,547556,397836
Naomi Kawase,144826,533938,389112
Ringo Lam,928379,1284071,355692
Gary Winick,9990265,10333338,343073
George Clooney,8471017,8791496,320479
Lone Scherfig,4719246,5020513,301267
Álex de la Iglesia,1173142,1462446,289304
Anne Fontaine,216457,503857,287400
Steve Carr,5501988,5776585,274597
Werner Herzog,516464,760196,243732
Luis Mandoki,1797693,2039669,241976
Alex Gibney,993021,1226462,233441
Benny Chan,456527,653287,196760
Darrell Roodt,192407,382002,189595
Dante Lam,226315,406103,179788
Aleksandr Sokurov,150306,325122,174816
Johnnie To,229245,396470,167225
Mika Kaurismäki,86562,236292,149730
Herman Yau,105644,250473,144829
Hong Sang-soo,147345,290287,142942
Stefan Ruzowitzky,1636798,1765385,128587
Benoît Jacquot,112166,237381,125215
Roland Joffé,967544,1031710,64166
Keoni Waxman,198356,262404,64048
Manoel de Oliveira,78864,125503,46639
Xiaogang Feng,422902,433506,10604
Michael Winterbottom,635034,642280,7246
Fred Olen Ray,136151,137278,1127
David DeCoteau,72251,52293,-19958
Nora Ephron,9042613,9020434,-22179
André Téchiné,329785,303266,-26519
Jonathan Lynn,6382210,6351787,-30423
Jim Wynorski,106120,74333,-31787
Tyler Perry,1054964,1014346,-40618
Amos Gitai,75325,32930,-42395
Andrew Jones,136704,89613,-47091
Tinto Brass,482952,423356,-59596
John Irvin,253427,183280,-70147
Iain Softley,6166118,6072361,-93757
Claude Chabrol,407260,308163,-99097
Carlos Saura,170695,69128,-101567
Jaume Collet-Serra,13506579,13394163,-112416
Patrice Leconte,556597,441092,-115505
Barbet Schroeder,2674604,2518290,-156314
Sidney J. Furie,325124,163589,-161535
Wim Wenders,726496,539054,-187442
Ferzan Özpetek,790090,596567,-193523
Charles Martin Smith,1493640,1252142,-241498
Jing Wong,318557,68825,-249732
Takeshi Kitano,1275997,999117,-276880
Edward Zwick,10512366,10228102,-284264
Timur Bekmambetov,8932718,8642942,-289776
Tsai Ming-liang,487166,191485,-295681
Kim Ki-duk,726644,387483,-339161
Sion Sono,649678,300617,-349061
John Badham,3132495,2743115,-389380
Albert Pyun,728593,321831,-406762
Volker Schlöndorff,660469,233967,-426502
Catherine Breillat,826284,378409,-447875
Christophe Honoré,701912,230306,-471606
