Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
George C. Wolfe,1327485,2435480,1107995
Mike Barker,294332,1389705,1095373
Pablo Larraín,577404,1667092,1089688
Krzysztof Kieslowski,3694588,4784064,1089476
Nimród Antal,3776030,4861166,1085136
Patricia Riggen,525342,1595355,1070013
Gavin Hood,1671905,2739700,1067795
Jay Russell,1174238,2235090,1060852
David Slade,8654247,9700055,1045808
Malcolm D. Lee,1165030,2185726,1020696
Kathryn Bigelow,6266035,7285572,1019537
James Ponsoldt,3603920,4621322,1017402
Stuart Baird,3605740,4618112,1012372
David Dhawan,147140,1158780,1011640
Guy Ferland,241814,1248252,1006438
Thor Freudenthal,1620763,2607757,986994
Martha Coolidge,219792,1181035,961243
Nuri Bilge Ceylan,580301,1540508,960207
Vince Marcello,1897227,2851317,954090
Ole Bornedal,995744,1946440,950696
George Hickenlooper,38084,974867,936783
Gregory Dark,16910,946979,930069
Bob Clark,296418,1202165,905747
Asghar Farhadi,1192715,2095758,903043
Asif Kapadia,336770,1232366,895596
Akan Satayev,192274,1076123,883849
Brett Haley,487495,1362467,874972
Russell Mulcahy,1772321,2639722,867401
Mike Newell,1391787,2254600,862813
Adam Wingard,3017134,3878906,861772
Steven Spielberg,23586335,24432450,846115
Mark Mylod,3106620,3950526,843906
Na Hong-jin,2851124,3660460,809336
Kore-eda Hirokazu,390104,1183850,793746
David Lowery,1814721,2606354,791633
Shûsuke Kaneko,134435,921901,787466
George A. Romero,1037748,1823474,785726
Olivier Megaton,4455605,5233692,778087
John Luessenhop,2094240,2866748,772508
John Crowley,1331375,2098580,767205
Steven Soderbergh,437210,1186701,749491
Rupert Wainwright,1717838,2460060,742222
Bruce Beresford,204680,925958,721278
Nacho Vigalondo,2149428,2858186,708758
Bharat Nalluri,363961,1072646,708685
Ken Kwapis,595834,1278743,682909
Steven C. Miller,295852,958653,662801
Roger Christian,92394,742206,649812
Paco Plaza,845862,1493081,647219
Julian Schnabel,1218272,1862180,643908
Stephen Norrington,8212288,8847488,635200
S. Shankar,643246,1273850,630604
Spike Lee,1709342,2336560,627218
Gregg Araki,558484,1182147,623663
Isao Takahata,1672749,2294943,622194
Peter Bogdanovich,428189,1047635,619446
Bart Freundlich,240787,846649,605862
Lorene Scafaria,4793973,5394550,600577
Scott Cooper,5169686,5769190,599504
Hugh Wilson,1877094,2475055,597961
Mira Nair,248158,845434,597276
Uli Edel,738267,1332601,594334
Liz Garbus,175925,769229,593304
Fernando León de Aranoa,443090,1034052,590962
Peter Berg,4150328,4739855,589527
Tom Harper,1021764,1610990,589226
Sebastián Lelio,476557,1057568,581011
Steve Carr,2292425,2868012,575587
Paul McGuigan,560548,1133118,572570
David S. Ward,792012,1362288,570276
Fatih Akin,646276,1213644,567368
Alexandre Aja,3997556,4560740,563184
Stephen Frears,1403037,1960104,557067
Jan Komasa,437288,990750,553462
David Mamet,803363,1353640,550277
Kasi Lemmons,503455,1053212,549757
Peter Medak,446863,987050,540187
Ringo Lam,124312,658180,533868
Jesse V. Johnson,63016,585596,522580
Craig Brewer,2455360,2975913,520553
John Turturro,352836,873280,520444
Neil LaBute,781923,1294832,512909
Rebecca Miller,330022,840502,510480
Andrew Bergman,1037746,1541345,503599
Hsiao-Hsien Hou,127876,616919,489043
Jonathan Mostow,3433857,3921030,487173
Walter Salles,1343863,1822706,478843
James Foley,3247143,3724450,477307
Lynn Shelton,781214,1250196,468982
Steven R. Monroe,279434,741764,462330
Kelly Reichardt,527750,989654,461904
Rod Lurie,1529533,1986725,457192
Emilio Martínez Lázaro,134079,588364,454285
Michael Dowse,1404467,1838480,434013
Atom Egoyan,376219,807344,431125
Francis Veber,217265,639234,421969
Erik Poppe,277720,696726,419006
Sammo Kam-Bo Hung,373549,787619,414070
Olivier Dahan,376474,783936,407462
Pablo Trapero,72499,475615,403116
Joachim Trier,1121772,1521586,399814
François Ozon,212234,605198,392964
Michael Lehmann,1974290,2364195,389905
Jonathan Kaplan,618906,1004613,385707
Marco Bellocchio,28756,408308,379552
Luis Mandoki,347491,717712,370221
Christian Petzold,131695,501138,369443
David Ayer,4324568,4691486,366918
Joe Swanberg,50118,415772,365654
Benny Chan,54998,414749,359751
Shekhar Kapur,3166998,3522782,355784
Alex van Warmerdam,112572,467395,354823
Tim Hill,818250,1170225,351975
David E. Talbert,506965,858755,351790
Olivier Assayas,168640,518692,350052
Philip Kaufman,1257118,1594910,337792
Rick Jacobson,22203,352727,330524
Isaac Florentine,145200,470460,325260
Emilio Estevez,959945,1285052,325107
Curtis Hanson,1615594,1939380,323786
Aki Kaurismäki,474993,794222,319229
Nora Ephron,5769210,6080902,311692
Petter Næss,468490,773828,305338
Mia Hansen-Løve,195362,499068,303706
Randall Miller,351794,652686,300892
Takashi Miike,127087,426664,299577
Abbas Kiarostami,754613,1052828,298215
John Duigan,275529,573360,297831
Billy Ray,2370270,2665847,295577
Michael Almereyda,248054,539910,291856
Roel Reiné,57022,343124,286102
Im Sang-soo,69459,352266,282807
John Hyams,851184,1131033,279849
Margarethe von Trotta,45234,324197,278963
Apichatpong Weerasethakul,154338,431838,277500
J.S. Cardone,34983,312269,277286
Louis Morneau,109732,386902,277170
Deon Taylor,587788,864172,276384
Woody Allen,845119,1118045,272926
Mike Mitchell,3431410,3700816,269406
Brian Robbins,1959074,2224450,265376
Álex de la Iglesia,736742,996378,259636
Julio Medem,215893,472496,256603
Ryoo Seung-wan,154663,405787,251124
Zhangke Jia,139476,382038,242562
Destin Daniel Cretton,3485729,3725968,240239
William Brent Bell,1692194,1929129,236935
Robert Benton,893300,1129784,236484
Ole Christian Madsen,233146,466521,233375
Peter Ho-Sun Chan,200516,428425,227909
John Carpenter,2245830,2470723,224893
Jessica Hausner,107690,332362,224672
Paul Thomas Anderson,7080115,7300750,220635
Marc Forster,3964204,4182072,217868
Daniel Calparsoro,60878,274482,213604
Lone Scherfig,448401,661375,212974
Terence Davies,193547,404718,211171
Aku Louhimies,204704,415150,210446
Paolo Virzì,106804,316971,210167
Ariel Vromen,1896431,2104400,207969
Irwin Winkler,379069,577326,198257
Jaume Balagueró,757343,955548,198205
Mohammad Rasoulof,40629,237673,197044
Bertrand Blier,71728,266398,194670
Andrew Dominik,5414504,5603782,189278
Christian Vincent,41586,224713,183127
Andrey Zvyagintsev,1879265,2059971,180706
Aleksandr Sokurov,21938,200732,178794
Bertrand Bonello,73232,250290,177058
Jean-Luc Godard,58042,229798,171756
Joe Roth,1866760,2033919,167159
Ryan Murphy,3069380,3234890,165510
Siu-Tung Ching,160081,324674,164593
Soi Cheang,59866,223815,163949
Dwight H. Little,982570,1145900,163330
Timothy Woodward Jr.,66769,229635,162866
Catherine Corsini,61464,224320,162856
Rohit Shetty,993671,1155094,161423
Jeff Baena,980022,1140428,160406
Joko Anwar,197936,356231,158295
Scott Hicks,2050251,2206492,156241
Nanni Moretti,406849,558956,152107
Sydney Pollack,4614840,4766617,151777
Sherry Hormann,440707,589982,149275
Matt Eskandari,635184,780810,145626
Jafar Panahi,307794,452962,145168
Henrik Ruben Genz,188541,333524,144983
Werner Herzog,114692,254880,140188
Terry Zwigoff,4878140,5014770,136630
Tung-Shing Yee,68967,202448,133481
Keiichi Hara,27570,158582,131012
Errol Morris,183504,313991,130487
Philipp Stölzl,773768,902493,128725
Ann Hui,25985,154234,128249
Allan A. Goldstein,225322,351919,126597
Andrey Konchalovskiy,91075,214929,123854
Sanjay Leela Bhansali,1582958,1705846,122888
Daniel Lee,307673,427464,119791
Mika Kaurismäki,30479,147670,117191
Claude Miller,49779,165411,115632
Lee Joon-ik,133416,245962,112546
Andrzej Wajda,55744,167024,111280
Sönke Wortmann,139694,248022,108328
Dante Lam,131711,240034,108323
Tibor Takács,68075,175081,107006
Marc Evans,326992,431206,104214
István Szabó,202060,303585,101525
Stewart Raffill,229644,329759,100115
Karen Shakhnazarov,32425,132425,100000
Cédric Klapisch,171430,269314,97884
Rodrigo García,458078,552881,94803
Xavier Giannoli,83243,176520,93277
Emmanuel Mouret,72291,164794,92503
Stephen Kay,1080582,1171154,90572
Shinsuke Sato,242659,333090,90431
Agnès Varda,74242,164546,90304
Nicole Garcia,128851,216963,88112
Arnaud Desplechin,56559,142092,85533
Fabrice du Welz,389766,475024,85258
Nils Gaup,107860,192560,84700
Keoni Waxman,48578,133262,84684
Sergey Loznitsa,46759,130175,83416
David Cronenberg,2154390,2233924,79534
Martin Guigui,100065,176813,76748
Rithy Panh,20985,91070,70085
Philippe Garrel,25672,93109,67437
Emmanuelle Bercot,72726,139996,67270
Hong Sang-soo,62718,129479,66761
Julien Leclercq,172587,237986,65399
Bertrand Tavernier,100584,164357,63773
Ulrich Seidl,93460,156366,62906
Damian Lee,112080,174341,62261
Xavier Beauvois,125830,187221,61391
Patricia Rozema,606102,667081,60979
Wai-Man Yip,32724,87829,55105
Theodoros Angelopoulos,283552,336395,52843
Brian A. Miller,228717,280788,52071
Andrew Lau,34353,85914,51561
Tyler Perry,558364,607616,49252
Bruno Barreto,127132,176059,48927
Ben Wheatley,1754440,1803141,48701
Yôji Yamada,7909,56486,48577
Christian Duguay,168067,213160,45093
Godfrey Ho,7775,52352,44577
André Téchiné,174986,219549,44563
Jean Becker,126047,169528,43481
Im Kwon-taek,23019,66295,43276
Jeremy Saulnier,3767809,3810622,42813
Tosca Musk,76759,117396,40637
Ira Sachs,267736,307134,39398
Xiaoshuai Wang,99591,138356,38765
Cathy Garcia-Sampana,28339,66458,38119
Frederick Wiseman,16478,54223,37745
Teddy Chan,404148,437916,33768
Pavel Lungin,65969,98592,32623
Woo-Ping Yuen,411225,443797,32572
Stéphane Brizé,78206,109226,31020
Naomi Kawase,45888,76710,30822
Craig Clyde,12741,43133,30392
Clarence Fok,57688,87487,29799
Giovanni Veronesi,97946,127738,29792
Xiaogang Feng,85148,114234,29086
Juan José Campanella,381334,410232,28898
Claude Chabrol,124710,153254,28544
Fred Olen Ray,51990,79320,27330
Manoel de Oliveira,44101,71200,27099
Herman Yau,55380,81482,26102
Ryûichi Hiroki,12166,36371,24205
Lucas Belvaux,41315,65263,23948
Klaus Härö,135414,158404,22990
Jag Mundhra,24013,46579,22566
Takahiro Miki,46628,68944,22316
Doris Dörrie,60345,81716,21371
Johan Nijenhuis,53455,74289,20834
Manuel Gómez Pereira,63171,83739,20568
John Lyde,50420,69412,18992
Phillip J. Roth,38562,56663,18101
Pupi Avati,17799,34484,16685
Hisayasu Satô,4970,21294,16324
Robert Guédiguian,52103,67515,15412
David A. Prior,19220,34030,14810
Brian Trenchard-Smith,161465,174802,13337
Vitaliy Manskiy,48809,61934,13125
Serge Rodnunsky,4540,17425,12885
Ti West,1149037,1161903,12866
Lav Diaz,20066,30693,10627
Joel Lamangan,4246,13473,9227
Rodney McDonald,25236,33076,7840
Otar Iosseliani,27058,34691,7633
Wolfgang Groos,35341,42888,7547
Guillaume Nicloux,65292,71895,6603
Christopher Forbes,8528,15124,6596
Michael Feifer,24790,30015,5225
Amos Gitai,8082,11742,3660
Richard Pepin,41438,43954,2516
Rene Perez,21545,23963,2418
John Schlesinger,722120,723961,1841
Vicente Aranda,96604,98087,1483
Raúl Ruiz,41909,42414,505
Joachim Lafosse,70540,70597,57
Diane Kurys,40153,40161,8
Takahisa Zeze,17496,16950,-546
Tsutomu Shibayama,34338,33724,-614
Bruno Podalydès,55505,54469,-1036
Menahem Golan,18594,17418,-1176
Carlo Vanzina,31021,29217,-1804
Joe D'Amato,14609,11935,-2674
Andreas Dresen,74053,70861,-3192
Cirio H. Santiago,15937,12219,-3718
Benoît Jacquot,57776,53715,-4061
Phil Grabsky,7785,3459,-4326
David DeCoteau,34536,30059,-4477
Rosa von Praunheim,12074,7449,-4625
Lawrence Lanoff,17889,12029,-5860
Jose Javier Reyes,9336,3107,-6229
Joe Ma,19494,12624,-6870
Rasmus A. Sivertsen,49587,40349,-9238
Jared Cohn,48702,37626,-11076
Tinto Brass,263628,251830,-11798
Ventura Pons,18517,6482,-12035
Anne Fontaine,99732,87624,-12108
Eric Lavaine,91920,78678,-13242
Neri Parenti,62776,48881,-13895
Sam Irvin,33667,19768,-13899
Arne Lindtner Næss,20906,6868,-14038
Ho-Cheung Pang,67258,53167,-14091
Yukihiko Tsutsumi,36522,20934,-15588
Naoyuki Tomomatsu,29659,13939,-15720
Jirí Vejdelek,40465,24723,-15742
Fruit Chan,64530,48566,-15964
Kevin Tenney,87782,71436,-16346
Ki-hyeong Park,46042,29423,-16619
Poj Arnon,25125,8212,-16913
Sam Firstenberg,68641,50842,-17799
Anh Hung Tran,398510,380612,-17898
Yen-Ping Chu,83258,64624,-18634
Takashi Ishii,47303,27833,-19470
Jacques Doillon,59946,39439,-20507
Jérôme Salle,578100,556290,-21810
Jim Jarmusch,4053020,4029570,-23450
Stephen Gyllenhaal,151155,127218,-23937
Ella Lemhagen,230716,206231,-24485
Sabu,61892,37350,-24542
Brillante Mendoza,54054,28994,-25060
Douglas Jackson,44261,18568,-25693
Zalman King,105941,80157,-25784
Andrew Jones,70961,44970,-25991
Alain Corneau,213200,187121,-26079
Mohsen Makhmalbaf,75125,48915,-26210
Martin Sulík,47087,18585,-28502
Arturo Ripstein,45955,17326,-28629
Oskar Roehler,102401,72474,-29927
Jaume Collet-Serra,6318604,6288550,-30054
Lloyd A. Simandl,38359,7796,-30563
Pierre Salvadori,210981,179504,-31477
Johnnie To,116868,84162,-32706
Yvan Attal,189228,156170,-33058
Nicolas Vanier,136353,102149,-34204
Sebastian Gutierrez,396964,361137,-35827
Andy Tennant,1469215,1433374,-35841
Radu Mihaileanu,351381,315365,-36016
Detlev Buck,94610,57905,-36705
Chantal Akerman,71696,34614,-37082
Sally Potter,619918,581986,-37932
Zeki Demirkubuz,444731,406714,-38017
Seong-gang Lee,45600,7224,-38376
Alain Resnais,154117,115640,-38477
Malgorzata Szumowska,253637,214808,-38829
Deepa Mehta,225995,186102,-39893
Jingle Ma,64402,23892,-40510
Jing Wong,89734,48444,-41290
Cédric Kahn,98304,56684,-41620
Darrell Roodt,122189,79912,-42277
George Gallo,508390,463794,-44596
Isao Yukisada,79208,34194,-45014
David Koepp,2316106,2269127,-46979
Claude Lelouch,118256,71129,-47127
Jim Wynorski,76332,28911,-47421
John Boorman,248529,199532,-48997
Dario Argento,402484,350694,-51790
Jean-Claude Brisseau,124163,71973,-52190
Martin Provost,182248,129310,-52938
Gianni Amelio,105157,52017,-53140
Breck Eisner,5675120,5621588,-53532
Michael Winterbottom,395253,339389,-55864
Daniele Luchetti,122145,65923,-56222
Bruce McDonald,144545,86648,-57897
Carlos Saura,80223,19960,-60263
Corneliu Porumboiu,305149,244644,-60505
Ryûhei Kitamura,408428,347814,-60614
Gabriele Muccino,279876,218692,-61184
Michele Placido,192327,129940,-62387
Robert Vince,98340,35603,-62737
Carlos Reygadas,286482,223646,-62836
Adam Rifkin,175697,111786,-63911
Walter Hill,1741184,1675744,-65440
Charles Band,89589,23554,-66035
Robert Lieberman,854750,784329,-70421
Jean-Paul Salomé,202984,129778,-73206
Dmitriy Dyachenko,189025,115701,-73324
Eran Riklis,155022,81616,-73406
Colin Nutley,135509,60968,-74541
Avi Nesher,144173,67338,-76835
Fred Cavayé,620751,541870,-78881
Patrice Leconte,301002,222077,-78925
Sébastien Lifshitz,129272,49791,-79481
Radu Jude,145550,65922,-79628
Mark Atkins,153576,70306,-83270
Gillies MacKinnon,183735,99876,-83859
Michael Polish,586420,501012,-85408
Laurent Cantet,178766,92056,-86710
Shin'ya Tsukamoto,177992,89397,-88595
Bruno Dumont,219241,128047,-91194
Charles Martin Smith,648460,553862,-94598
John Irvin,138025,41856,-96169
Rick King,121935,24752,-97183
John Murlowski,225763,128262,-97501
Neil Jordan,2058286,1958674,-99612
Vikram Bhatt,189552,89245,-100307
Jan Hrebejk,209874,105660,-104214
Kim Ki-duk,224907,117364,-107543
Jean-Pierre Améris,186210,74022,-112188
Kar-Wai Wong,2035013,1921860,-113153
Abdellatif Kechiche,237424,121688,-115736
Matteo Garrone,931873,815080,-116793
Paddy Breathnach,374229,257146,-117083
Jan Sverák,276219,158955,-117264
Greg McLean,3255035,3136853,-118182
Goran Paskaljevic,147526,25252,-122274
John Landis,1181594,1054811,-126783
James Toback,370718,240376,-130342
Icíar Bollaín,258428,127218,-131210
Eytan Fox,301193,168784,-132409
Michael Ritchie,385679,252936,-132743
Chuan Lu,320007,187198,-132809
Christophe Honoré,295160,160656,-134504
Aaron Norris,316942,176606,-140336
Ferzan Özpetek,336451,196046,-140405
Tommy O'Haver,1519268,1378336,-140932
Ye Lou,208417,67211,-141206
Kenneth Branagh,1265836,1123356,-142480
Tony Gatlif,229295,82569,-146726
Victor Salva,1090836,942695,-148141
Stefan Ruzowitzky,407480,258596,-148884
Adam Green,2110517,1961008,-149509
Danièle Thompson,227076,77000,-150076
Alan Rudolph,304164,150554,-153610
Takashi Yamazaki,280229,123878,-156351
Marleen Gorris,344686,186947,-157739
Giorgio Serafini,190923,30684,-160239
John Sayles,303949,143351,-160598
Masayuki Ochiai,800077,637428,-162649
Éric Rohmer,266137,100158,-165979
Deran Sarafian,631604,465096,-166508
Jeffrey Lau,192047,21235,-170812
Sidney J. Furie,253810,82188,-171622
Julien Temple,270367,95136,-175231
Dominik Moll,432554,254224,-178330
Tsai Ming-liang,235855,57033,-178822
Noboru Iguchi,216811,37588,-179223
Peter Greenaway,297196,117326,-179870
Rolf de Heer,347072,166142,-180930
Uwe Boll,505310,320663,-184647
Kevin Macdonald,1054104,868896,-185208
Bent Hamer,290688,104814,-185874
Paul King,5031649,4843515,-188134
Michael Herbig,668015,475611,-192404
