Director,First Number of Votes,Last Number of Votes,Career Progression Number of Votes
Todd Phillips,6819996,74889800,68069804
George Miller,2219136,55092326,52873190
Bong Joon Ho,5293210,48290650,42997440
Ryan Coogler,6782849,41997650,35214801
Rian Johnson,4818770,38844000,34025230
James Gunn,4386233,38100800,33714567
Scott Derrickson,7173082,40394450,33221368
Denis Villeneuve,448229,33462400,33014171
Alejandro G. Iñárritu,12620877,43852750,31231873
Jon Watts,1532834,27987200,26454366
Joss Whedon,19932010,46225450,26293440
Gareth Edwards,10407950,34440100,24032150
Baz Luhrmann,6440729,29946050,23505321
James Mangold,3219560,23958250,20738690
Guillermo del Toro,2136145,22429550,20293405
Taika Waititi,2655400,22156450,19501050
Morten Tyldum,3698268,22483150,18784882
Peyton Reed,4816722,22572900,17756178
Noah Baumbach,619353,17373600,16754247
Susanne Bier,120743,16462514,16341771
Alfonso Cuarón,1315882,16841606,15525724
Joe Johnston,8159246,23494558,15335312
Sean Penn,617490,15319257,14701767
Kenneth Lonergan,1311450,15458465,14147015
Jake Kasdan,1554752,14249700,12694948
Lenny Abrahamson,1139335,13765520,12626185
Tom McCarthy,3129110,15665578,12536468
James Cameron,57093416,69497650,12404234
James Gray,821720,13060750,12239030
Mark Herman,668130,12150142,11482012
Ted Demme,1317967,12459990,11142023
Roar Uthaug,656110,11200323,10544213
Christopher McQuarrie,8706363,18968050,10261687
David F. Sandberg,7198644,17375150,10176506
Zack Snyder,14847808,23976250,9128442
J.A. Bayona,8679350,17269650,8590300
Jon Turteltaub,1894609,10416000,8521391
Chloé Zhao,748624,9210400,8461776
Jonathan Liebesman,2595892,11033850,8437958
Daniel Espinosa,3962232,12204928,8242696
Matthew Vaughn,10162468,18213750,8051282
Mike Flanagan,3025300,10968400,7943100
Mikael Håfström,1533180,9348452,7815272
Tony Gilroy,7252064,15013496,7761432
David Gordon Green,486611,8238104,7751493
Yorgos Lanthimos,4034164,11746200,7712036
Park Chan-wook,1105626,8635201,7529575
Christopher Nolan,22247610,29776700,7529090
Tony Scott,3007760,10409350,7401590
Brad Peyton,2063922,9302650,7238728
Spike Jonze,17098024,24318746,7220722
Peter Jackson,4529790,11562236,7032446
Craig Gillespie,5181166,12177550,6996384
Justin Lin,7079090,14063038,6983948
David Twohy,1245974,8104002,6858028
Antoine Fuqua,1216966,8004050,6787084
Dexter Fletcher,2864740,9496220,6631480
Seth Gordon,3525836,10137400,6611564
David Mackenzie,562693,7161330,6598637
Gary Ross,5637030,12146450,6509420
Nikolaj Arcel,807564,7303450,6495886
Leigh Whannell,6398105,12840400,6442295
Alejandro Agresti,52297,6481338,6429041
Sylvester Stallone,11699994,18030420,6330426
Thomas Vinterberg,3591953,9811900,6219947
Niki Caro,1817569,7972400,6154831
Trey Parker,3277382,9417849,6140467
Antonio Campos,344891,6304330,5959439
Nancy Meyers,7841114,13774500,5933386
Michael Davis,608422,6410205,5801783
Peter Weir,1264146,7041554,5777408
Gina Prince-Bythewood,1328360,7050164,5721804
Nick Cassavetes,1134130,6815184,5681054
Sean Baker,580759,6177768,5597009
Wes Craven,2457124,7982634,5525510
Martin Campbell,684955,6180500,5495545
Lynne Ramsay,1358460,6845844,5487384
Matt Reeves,9193362,14669200,5475838
S.S. Rajamouli,729011,6186980,5457969
Ang Lee,674197,6126150,5451953
Michael Dougherty,5011714,10437150,5425436
Mike Nichols,1301732,6700724,5398992
Gary Winick,150355,5439244,5288889
Brad Bird,11426500,16634950,5208450
Jon M. Chu,4341949,9542450,5200501
Stephen Sommers,609235,5717714,5108479
Pete Travis,6499588,11542596,5043008
Rob Letterman,3776950,8811144,5034194
Christian Ditter,65142,5039810,4974668
John Lee Hancock,1454824,6392748,4937924
Sidney Lumet,276706,5146140,4869434
Sam Raimi,5872616,10739178,4866562
Jean-Marc Vallée,1095786,5929287,4833501
Patrick Hughes,7583638,12394450,4810812
Beeban Kidron,520104,5278336,4758232
Alan Parker,1158196,5902942,4744746
Anand Tucker,715194,5437668,4722474
Martin McDonagh,23129600,27840000,4710400
Adam Robitel,2499155,7129050,4629895
Céline Sciamma,886966,5512200,4625234
Craig Zobel,1573669,6189276,4615607
Nadine Labaki,704450,5306600,4602150
Edgar Wright,26160268,30732050,4571782
J.J. Abrams,20269929,24768550,4498621
Shawn Levy,1353219,5777050,4423831
Todd Haynes,901129,5215650,4314521
Jonathan Levine,1680691,5937288,4256597
Jodie Foster,770445,5002685,4232240
Doug Liman,3410330,7609004,4198674
Michael Cuesta,380374,4571300,4190926
Paul Feig,813226,4974266,4161040
Gavin O'Connor,1267059,5359070,4092011
Ric Roman Waugh,2705220,6779850,4074630
John Frankenheimer,899550,4880074,3980524
David O. Russell,1205243,5109132,3903889
Nicolas Winding Refn,1486550,5336375,3849825
Patty Jenkins,10810810,14625250,3814440
Sergei Bodrov,121939,3935729,3813790
Shane Meadows,632669,4444134,3811465
Clint Eastwood,1082614,4885832,3803218
Jonathan Glazer,3198130,6996970,3798840
David Michôd,2912731,6654540,3741809
Thomas Carter,1198472,4896920,3698448
Giuseppe Tornatore,393742,4090004,3696262
Jon Favreau,9727160,13392500,3665340
Felix van Groeningen,992331,4651534,3659203
Alexander Payne,2607392,6256608,3649216
Ruben Östlund,247717,3860532,3612815
Luca Guadagnino,327583,3906176,3578593
Gary Fleder,2317678,5892068,3574390
James Wan,22651108,26111000,3459892
J Blakeson,3631000,7044100,3413100
John Wells,3314642,6663850,3349208
Wes Anderson,6249896,9573300,3323404
David Dobkin,3600228,6896727,3296499
Hany Abu-Assad,769291,4052500,3283209
Pat O'Connor,388843,3620618,3231775
Joe Berlinger,1340074,4570956,3230882
Lee Chang-dong,439830,3648949,3209119
Luis Llosa,610292,3722631,3112339
Ol Parker,1791004,4881826,3090822
John Madden,454052,3531145,3077093
Michael Apted,539625,3567008,3027383
Paul Weiland,572792,3590671,3017879
Kimberly Peirce,4430237,7422700,2992463
Bennett Miller,7667052,10645870,2978818
Michael Hoffman,721742,3674400,2952658
Mike Binder,307504,3183480,2875976
Mel Gibson,27062166,29876450,2814284
Hannes Holm,125900,2919112,2793212
Sam Taylor-Johnson,6413385,9183290,2769905
Dennis Dugan,1737403,4495630,2758227
Hans Petter Moland,132470,2864410,2731940
Taylor Hackford,2059716,4788190,2728474
Brad Anderson,1055825,3767255,2711430
Andy Muschietti,12491223,15171550,2680327
John Whitesell,416740,3079996,2663256
Baltasar Kormákur,259082,2918445,2659363
Alan Taylor,12441432,15089855,2648423
Bill Condon,1161338,3805100,2643762
John Erick Dowdle,2071575,4714500,2642925
Harald Zwart,1028000,3657530,2629530
Makoto Shinkai,2592106,5208526,2616420
Patrick Lussier,1508862,4092624,2583762
Jacques Audiard,365115,2941916,2576801
William Friedkin,557950,3124504,2566554
Bernardo Bertolucci,772790,3322802,2550012
Gregor Jordan,969820,3509968,2540148
F. Gary Gray,4866717,7379850,2513133
Luc Besson,2710510,5203254,2492744
Pawel Pawlikowski,630840,3101150,2470310
Peter Chelsom,311991,2780614,2468623
John Hamburg,4110344,6573446,2463102
Jocelyn Moorhouse,505078,2930382,2425304
Ridley Scott,7713649,10120120,2406471
Brian Helgeland,7753060,10157950,2404890
Christophe Gans,1610720,4015421,2404701
Paul Greengrass,1706400,4095424,2389024
Lars von Trier,2326176,4714137,2387961
Tommy Wirkola,3531451,5884140,2352689
Travis Knight,6935650,9268632,2332982
Roger Donaldson,602106,2923294,2321188
Ben Stiller,4934350,7249817,2315467
John Krasinski,11473199,13735050,2261851
John Carney,3740600,5989140,2248540
Greg Berlanti,4077128,6313400,2236272
Gore Verbinski,3676580,5903058,2226478
Michael Showalter,2301026,4525517,2224491
Pedro Almodóvar,814810,2990214,2175404
Kornél Mundruczó,45181,2186562,2141381
Jonas Åkerlund,1709250,3849826,2140576
Brett Ratner,6065499,8205752,2140253
James Franco,115318,2237906,2122588
Howard Deutch,318180,2434098,2115918
Alan J. Pakula,1696698,3761839,2065141
Ronny Yu,132738,2194698,2061960
Louis Leterrier,8317127,10369506,2052379
Jaco Van Dormael,415248,2388484,1973236
Betty Thomas,1201400,3140750,1939350
Christopher Landon,1703692,3643000,1939308
Derrick Borte,1569620,3475605,1905985
Norman Jewison,916843,2803532,1886689
Jon Amiel,996074,2882619,1886545
Paul Schrader,424904,2303922,1879018
Richard Shepard,194015,2063157,1869142
Paolo Genovese,153777,1989457,1835680
Anders Thomas Jensen,1376668,3199000,1822332
D.J. Caruso,3061700,4871450,1809750
John McNaughton,739470,2536409,1796939
Oliver Parker,686577,2479824,1793247
Michael Haneke,749392,2539200,1789808
Harmony Korine,1220871,2984240,1763369
Lawrence Kasdan,848207,2604032,1755825
Carl Franklin,914879,2662506,1747627
John Polson,1256082,2992744,1736662
Roland Emmerich,3009560,4740150,1730590
Justin Kurzel,2084461,3798062,1713601
Frank Oz,2729499,4425805,1696306
David Leitch,10154079,11845800,1691721
Claire Denis,116827,1794362,1677535
Marielle Heller,2089446,3748546,1659100
Yôjirô Takita,81463,1718164,1636701
Nick Hurran,127751,1713940,1586189
David M. Rosenthal,392370,1977360,1584990
Phil Joanou,1015156,2568790,1553634
Erik Van Looy,654633,2205421,1550788
Karan Johar,2831875,4381416,1549541
Gilles Paquet-Brenner,139784,1685080,1545296
Dome Karukoski,200064,1735195,1535131
Corey Yuen,264386,1782254,1517868
Cary Joji Fukunaga,2946379,4451206,1504827
Sean Anders,4567914,6034000,1466086
Nicole Holofcener,772850,2232655,1459805
Rob Bowman,3976330,5429794,1453464
Ken Loach,239547,1687970,1448423
Lee Tamahori,1525112,2954940,1429828
Wilson Yip,37851,1421268,1383417
Oliver Stone,6743550,8084026,1340476
Jim Mickle,1353606,2692132,1338526
Johannes Roberts,292427,1592923,1300496
Tod Williams,1607370,2886247,1278877
Ari Aster,19042850,20319800,1276950
Lee Daniels,3960705,5192910,1232205
Tony Goldwyn,1027920,2240720,1212800
Ramin Bahrani,282189,1482636,1200447
Tim Story,1840110,3023814,1183704
Mahesh Bhatt,98687,1278405,1179718
Wolfgang Petersen,2317388,3495203,1177815
Harold Becker,1281667,2419730,1138063
Jonathan Teplitzky,389296,1516345,1127049
